Gene_ID	Plastochron3_Rep1	Plastochron3_Rep2	Plastochron3_Rep3	Plastochron4_Rep1	Plastochron4_Rep2	Plastochron4_Rep3	Plastochron5_Rep1	Plastochron5_Rep2	Plastochron5_Rep3
LOC_Os06g19530	0	0	0	29.9543813758	24.5001961221	29.1610843446	99.5025060105	60.3869142939	168.4518520291
LOC_Os06g19500	0	0	0	0	0	0	0	0	0
LOC_Os06g19490	0	0	0	0	0	0	0	0	0
LOC_Os06g19480	224.7621664463	216.7612670862	210.7042212213	147.5801228759	150.2248867486	124.3183069429	29.8507518031	31.1674396355	22.8761774361
LOC_Os06g19470	1426.9083381896	1596.0854633115	1360.7217532785	783.1974837772	913.5994185523	812.6733768675	1011.6088111064	812.3013955014	684.2056705873
LOC_Os06g19460	0	0	0	0	0	0	0	0	0
LOC_Os06g19444	463.9862417255	591.7582591454	690.743403482	151.2330962144	224.370217118	154.246788244	140.9618835148	126.6177235194	151.8146320756
LOC_Os06g19430	0	0	0	0	0	0	0	0	0
LOC_Os06g19420	21.6928632495	18.0634389239	20.1543168125	5.1141626739	5.8026780289	11.5109543466	1.6583751002	1.9479649772	0
LOC_Os06g19400	391.0741180258	451.5859730963	432.4017061585	187.0322349319	189.5541489445	156.5489791133	485.9039043511	403.2287502849	457.523548721
LOC_Os06g19390	250.070506904	273.8417340856	312.0865421568	235.2514830002	200.5147629991	227.916896062	369.8176473389	397.3848553532	455.4438962268
LOC_Os06g19380	236.2111776057	224.7091802127	217.4223268255	211.141858966	225.0149591212	259.380171276	41.4593775044	56.4909843394	37.4337448954
LOC_Os06g19370	148.837145073	185.6921521372	127.0332696059	369.6809018575	254.673091269	261.6823621453	348.2587710366	237.651727221	264.1158667617
LOC_Os06g19360	0	0	0	0	0	0	0	0	0
LOC_Os06g19340	0	0	0	0	0	0	0	0	0
LOC_Os06g19300	0.6025795347	0	0	0.7305946677	0	0	0	0	0
LOC_Os06g19260	0.6025795347	0	1.2214737462	4.3835680062	1.9342260096	0	24.8756265026	37.0113345672	16.6372199535
LOC_Os06g19250	0	0	0.6107368731	0	0	0	0	0	0
LOC_Os06g19220	1.2051590694	0.722537557	0	0	0	0	0	0	0
LOC_Os06g19210	1.2051590694	1.4450751139	1.8322106193	0.7305946677	1.9342260096	0	4.9751253005	1.9479649772	0
LOC_Os06g19200	34.9496130131	22.3986642656	30.5368436553	26.3014080373	47.0661662345	22.2545117367	26.5340016028	38.9592995444	54.0709648488
LOC_Os06g19170	6.6283748818	3.6126877848	4.8858949848	2.1917840031	8.3816460418	1.5347939129	0	0	0
LOC_Os06g19130	1.2051590694	0.722537557	0	0	1.2894840064	0	0	0	0
LOC_Os06g19120	0	0	0	0	0	0	0	0	0
LOC_Os06g19110	0	0	0	0	0	0	0	0	0
LOC_Os06g19095	0.6025795347	1.4450751139	1.2153663775	23.6274315535	2.01159505	5.2336472429	148.1923989516	89.4895110536	71.186504876
LOC_Os06g19070	0	1.4450751139	0	233.0596989971	43.8424562185	32.2306721704	1457.7117130532	654.5162323465	1888.3244647213
LOC_Os06g19060	0	0	0	0	0	0	0	0	0
LOC_Os06g19050	0	0	0.6107368731	0	0	0	0	0	0
LOC_Os06g19020	0	0	0	0	0	0	0	0	0
LOC_Os06g19010	0	0.722537557	0	0	1.2894840064	0.7673969564	0	3.8959299544	2.0796524942
LOC_Os06g19000	0	0	0	0	0	0	0	0	0
LOC_Os06g18990	3.0128976735	2.8901502278	0.6107368731	227.9455363232	174.7250828706	191.8492391094	330.0166449347	356.4775908316	1039.8262470932
LOC_Os06g18980	3.0128976735	2.8901502278	0	0	0	0	0	0	0
LOC_Os06g18960	0	0	0	0	0	0	1.6583751002	0	2.0796524942
LOC_Os06g18930	0	0	0	0.7305946677	0	0.7673969564	14.9253759016	9.7398248861	14.5575674593
LOC_Os06g18920	0	0	0	0	0	0	0	0	0
LOC_Os06g18910	0	0	0	0	0	0	0	0	0
LOC_Os06g18900	316.354255722	364.8814662618	279.1067510091	187.0322349319	220.5017650987	172.6643151985	527.3632818554	268.8191668566	324.4257890931
LOC_Os06g18890	0	0	0	0	0	0	0	0	0
LOC_Os06g18880	22.2954427842	24.5662769364	25.0402117973	1.4611893354	7.0921620353	2.3021908693	1.6583751002	0	0
LOC_Os06g18870	0	0	0	0	0	0	0	0	0
LOC_Os06g18850	121.1184864764	156.790649859	129.4762170983	33.6073547143	45.1319402249	32.9980691268	79.6020048084	44.8031944761	35.3540924012
LOC_Os06g18830	839.3932918489	856.2070049905	932.5952052317	528.219944749	597.0310949749	499.575418641	127.6948827134	192.8485327449	95.6640147326
LOC_Os06g18820	3.0128976735	0	4.2751581117	3.6529733385	1.2894840064	5.3717786951	24.8756265026	38.9592995444	27.0354824244
LOC_Os06g18810	9.6412725553	5.5490884374	7.3288424773	1.4611893354	5.1579360257	2.3021908693	1.6583751002	0	0
LOC_Os06g18790	14.1124127029	5.7803004556	10.7306468605	99.1855320873	79.6062951367	67.7764991926	709.4860353566	339.1017432347	723.4071201028
LOC_Os06g18690	0	0	0	0	0	0	0	0	0
LOC_Os06g18680	0	0	1.2214737462	0	0.6447420032	0	0	0	0
LOC_Os06g18670	17.8243026367	20.2310515947	22.8598811603	609.4912955842	155.724536036	194.6732599091	4880.896427331	2986.0744728826	9543.8372436958
LOC_Os06g18160	0	0	0	0	0	0	1.6583751002	0	0
LOC_Os06g18150	62.6984005864	55.4041798672	68.4269592627	41.6585079524	47.7431453379	46.0438173863	110.7297054386	89.9765022979	56.2961930176
LOC_Os06g18140	0	4.3352253417	0.6107368731	7.305946677	6.4474200321	11.5109543466	11.6086257012	11.6877898633	18.7168724477
LOC_Os06g18120	0	0	0	0	0	0	0	0	0
LOC_Os06g18040	0	0	0	0	0	0	0	0	0
LOC_Os06g18020	2.4103181388	2.8901502278	0.6107368731	0	1.9342260096	0.7673969564	1.6583751002	1.9479649772	0
LOC_Os06g18010	28.3212381313	35.4043402907	33.5905280208	143.1965548697	54.8030702731	102.8311921627	416.2521501438	200.6403926538	840.1796076513
LOC_Os06g18000	0	0.722537557	0	41.643896059	8.3816460418	8.4413665208	616.9155372648	393.4889253988	415.9304988373
LOC_Os06g17990	0	0	0	0	0	0	0	0	0
LOC_Os06g17980	0	0	0	0	0	0.3836984782	0	0	0
LOC_Os06g17970	0	0	0	0	0	0.7673969564	0	0	0
LOC_Os06g17960	0	0	0	0	0	0	0	0	0
