Gene_ID	Roots_Control_full_fertilizer	Roots_Control_water	Roots_Ammonium_stress	Roots_Nitrate_stress	Roots_Urea_stress	Shoots_Control_full_fertilizer	Shoots_Control_water	Shoots_Ammonium_stress	Shoots_Nitrate_stress	Shoots_Urea_stress
Sobic.001G026900	68.641	71.715	80.657	69.07	64.136	47.116	103.667	90.746	103.455	86.351
Sobic.001G026950	0.038	0	0.093	0.032	0	0	0	0.042	0	0
Sobic.001G027000	0	0	0	0	0	0	0	0	0	0
Sobic.001G027100	4.363	4.752	4.19	4.1	3.703	5.771	4.533	7.287	10.272	6.501
Sobic.001G027200	0	0	0.442	0.121	0.1	0.065	0	1.504	1.661	1.579
Sobic.001G027300	24.004	4.412	276.903	237.499	305.306	9.07	8.292	762.371	414.824	712.318
Sobic.001G027400	0	0	0	0	0	0.066	0	0	0	0.072
Sobic.001G027500	1.877	2.577	2.324	3.089	3.866	4.424	3.299	7.856	4.61	8.37
Sobic.001G027600	3.578	4.935	3.846	5.023	4.607	293.084	103.669	267.521	340.979	279.443
Sobic.001G027700	0.196	0.122	0.133	0.033	0.305	0.227	0.147	0.199	0.188	0.29
Sobic.001G027800	1.106	5.987	2.359	1.965	2.55	0.243	0.806	0.39	0.336	0.451
Sobic.001G027900	0.027	0.133	0.017	0.008	0.028	0.027	0.114	0.232	0.154	0.287
Sobic.001G028000	3.616	4.437	4.206	2.78	3.627	2.234	3.941	2.49	2.436	1.842
Sobic.001G028100	5.92	6.995	7.915	9.756	7.69	138.789	50.073	95.118	126.904	105.536
Sobic.001G028200	0.013	0.006	0.002	0.01	0.009	0.014	0.014	0.026	0.003	0.014
Sobic.001G028301	0.053	0	0.011	0.028	0.014	0.022	0.007	0.021	0.014	0.007
Sobic.001G028400	51.38	49.671	48.753	45.684	45.551	45.162	47.06	38.019	38.645	37.691
Sobic.001G028500	18.435	20.267	28.788	27.608	31.988	11.81	16.139	31.121	21.988	30.066
Sobic.001G028600	0.014	0	0	0	0	0	0	0	0	0
Sobic.001G028700	8.105	6.827	4.766	4.423	4.746	4.017	2.814	2.601	2.309	2.273
Sobic.001G028800	79.386	7.02	1.816	2.548	2.933	32.962	0.177	0.406	0.352	0.241
Sobic.001G028900	1.561	0.796	0.477	0.448	0.46	1.643	0.828	0.619	0.696	0.575
Sobic.001G029000	3.129	2.868	2.872	3.281	3.09	3.178	3.074	2.983	3.076	3.37
Sobic.001G029100	0	0.017	0	0	0	1.409	1.256	1.446	2.234	1.912
Sobic.001G029200	145.14	149.656	151.639	130.245	140.261	112.952	156.616	179.015	147.803	168.585
Sobic.001G029300	0.067	0.009	0.847	0.676	1.109	0.148	0.007	0.248	0.189	0.263
Sobic.001G029400	6.183	6.145	6.385	5.912	5.676	6.516	7.73	5.947	5.467	5.275
Sobic.001G029500	2.693	4.79	2.772	4.371	2.928	0.055	0.182	0.182	0.105	0.331
Sobic.001G029600	0.042	0.041	0	0.033	0	10.302	18.766	33.798	40.227	35.667
Sobic.001G029700	0.097	0.053	0.1	0.142	0.051	0.155	0.119	0.085	0.04	0.119
Sobic.001G029800	3.951	2.975	3.696	4.22	4.093	3.519	1.942	2.715	3.01	3.136
Sobic.001G029900	3.497	2.952	2.178	2.184	2.614	0.274	0.381	0.205	0.323	0.38
Sobic.001G030000	54.372	58.034	62.992	64.945	62.467	48.219	54.686	43.615	46.381	43.372
Sobic.001G030100	0.532	0.439	0.528	0.321	0.668	1.037	1.012	1.56	1.095	1.429
Sobic.001G030200	0.442	0.411	0.993	0.886	0.935	15.561	4.903	13.032	19.108	12.269
Sobic.001G030300	42.969	30.441	56.672	61.084	57.359	34.669	37.798	40.653	40.795	34.309
Sobic.001G030400	29.174	20.309	29.956	33.161	32.647	17.684	17.732	17.588	16.679	15.79
Sobic.001G030500	0	0	0.016	0.01	0	3.054	1.573	1.506	0.893	1.579
Sobic.001G030600	0	0	0	0	0	0.037	0.035	0.022	0	0.03
Sobic.001G030800	0	0	0	0	0	0	0	0	0	0
Sobic.001G030900	0.011	0.011	0.009	0.014	0.035	0.816	0.272	0.445	0.501	0.572
Sobic.001G031000	0	0	0	0	0	0	0	0	0.013	0
Sobic.001G031100	35.902	34.835	39.192	40.133	38.257	48.705	71.559	54.637	55.367	50.585
Sobic.001G031200	20.805	20.195	16.796	16.686	16.33	21.902	16.905	10.944	10.244	10.098
Sobic.001G031300	5.416	6.993	4.623	5.045	4.201	33.188	9.357	13.498	16.306	14.895
Sobic.001G031400	3.505	3.284	3.501	3.06	5.042	4.75	4.638	4.02	3.755	5.464
Sobic.001G031500	0.57	0.916	0.469	0.656	0.582	0.995	0.435	0.558	0.502	0.451
Sobic.001G031600	20.379	23.738	19.785	17.777	17.094	15.155	26.008	20.065	22.807	22.133
Sobic.001G031700	25.118	22.471	28.634	33.425	32.478	8.38	9.274	8.972	8.42	10.423
Sobic.001G031800	1.47	1.116	1.895	1.529	2.84	1.276	1.519	1.674	1.26	1.692
Sobic.001G031900	15.805	13.884	15.172	15.308	14.903	9.289	12.055	9.373	8.98	7.94
Sobic.001G032000	3.26	8.913	4.715	2.502	3.983	9.232	5.374	8.33	9.18	14.071
Sobic.001G032100	14.604	2.165	8.188	8.715	8.519	19.041	2.151	22.239	23.722	24.777
