Gene_ID	Roots_Control_full_fertilizer	Roots_Control_water	Roots_Ammonium_stress	Roots_Nitrate_stress	Roots_Urea_stress	Shoots_Control_full_fertilizer	Shoots_Control_water	Shoots_Ammonium_stress	Shoots_Nitrate_stress	Shoots_Urea_stress
Sobic.002G259100	6.142	3.888	4.177	3.374	2.462	0	0.056	0	0.032	0
Sobic.002G259200	1.004	0.728	0.874	1.1	1.249	3.306	2.236	3.078	3.666	3.456
Sobic.002G259301	0.014	0	0	0	0	0	0	0	0	0
Sobic.002G259400	43.331	49.441	38.601	38.885	36.628	31.715	38.842	26.586	23.624	26.028
Sobic.002G259466	0.037	0.092	0.063	0.038	0.04	0.04	0.146	0.102	0.054	0.108
Sobic.002G259532	0	0	0	0	0	0	0	0	0	0
Sobic.002G259600	2.16	8.27	3.337	2.415	3.055	2.945	3.287	2.368	2.785	2.979
Sobic.002G259700	74.456	41.363	66.327	69.88	66.288	35.305	34.8	37.174	38.699	32.611
Sobic.002G259800	30.469	29.199	27.526	25.356	25.737	28.289	24.444	22.679	22.42	22.455
Sobic.002G259900	6.286	7.705	9.208	9.26	8.35	6.068	7.775	6.77	7.558	6.355
Sobic.002G260000	20.819	29.206	25.815	24.46	21.006	1.548	12.976	3.65	3.654	3.554
Sobic.002G260100	0.054	0.024	0	0.024	0	0	0	0	0	0.04
Sobic.002G260200	12.796	10.374	9.819	10.223	11.914	13.683	8.197	8.085	8.442	10.422
Sobic.002G260300	0	0	0	0	0	0	0	0	0	0
Sobic.002G260400	16.623	21.018	17.449	17.169	17.549	24.096	31.236	23.287	25.859	25.593
Sobic.002G260500	0	0	0	0	0	0.017	0	0	0	0
Sobic.002G260600	0.044	0.097	0	0.012	0.046	25.767	28.504	28.865	28.474	26.232
Sobic.002G260700	16.239	20.965	22.856	24.718	24.15	20.206	20.116	19.652	21.937	21.989
Sobic.002G260800	3.154	1.103	1.283	0.564	1.813	0.167	0.199	0.053	0.113	0.1
Sobic.002G260900	26.705	35.844	20.727	20.86	22.38	16.109	16.897	10.486	11.613	13.34
Sobic.002G261000	1.273	7.889	3.929	3.717	3.212	0.964	5.289	2.354	1.554	1.519
Sobic.002G261100	0.505	3.904	1.16	0.942	0.544	0.235	1.271	0.527	0.308	0.235
Sobic.002G261200	0.207	3.014	1.493	1.316	0.643	0.355	3.703	1.788	1.548	1.189
Sobic.002G261300	19.21	36.831	28.749	23.523	24.414	6.494	13.383	10.02	8.978	6.923
Sobic.002G261400	0	0.012	0.01	0.01	0	0.013	0.065	0	0.012	0
Sobic.002G261450	0	0	0	0	0	0	0	0	0.035	0
Sobic.002G261500	9.591	15.974	11.757	7.297	12.812	0.206	0.442	0.373	0.566	0.447
Sobic.002G261600	16.339	36.903	28.855	22.822	23.51	6.626	56.719	23.158	18.392	20.494
Sobic.002G261700	8.178	6.834	8.281	9.406	8.887	7.856	7.151	8.22	6.507	6.484
Sobic.002G261800	17.276	14.573	14.326	11.545	12.076	17.679	20.928	25.902	24.253	22.998
Sobic.002G261900	90.094	86.1	77.483	79.126	71.136	55.319	82.631	57.3	50.981	57.125
Sobic.002G262000	83.99	83.841	82.867	83.761	85.055	49.235	55.543	42.967	42.931	35.652
Sobic.002G262100	15.761	13.031	18.062	19.262	16.944	6.991	5.53	7.572	8.813	6.994
Sobic.002G262200	14.754	12.544	16.231	17.096	17.004	11.62	11.835	13.472	12.347	10.488
Sobic.002G262250	0	0	0.031	0.031	0	0	0	0	0	0.031
Sobic.002G262300	12.333	5.335	24.137	21.681	23.364	15.514	16.922	87.185	76.564	80.719
Sobic.002G262400	33.724	33.247	29.732	23.674	22.889	9.562	6.962	8.239	10.368	7.566
Sobic.002G262500	0	0	0	0.007	0	0.121	2.681	1.475	1.08	1.302
Sobic.002G262600	33.933	27.942	26.916	27.48	26.578	43.579	35.218	34.716	36.06	34.302
Sobic.002G262700	10.035	9.859	8.629	8.278	8.668	13.79	11.056	9.693	10.188	9.583
Sobic.002G262800	12.748	13.488	14.807	13.69	13.981	5.454	11.492	7.185	10.239	8.97
Sobic.002G262850	0	0	0	0	0	0	0.019	0.041	0.083	0.02
Sobic.002G262900	18.909	20.671	19.826	19.397	19.531	12.942	17.382	12.214	12.826	11.738
Sobic.002G263000	0.957	0.56	0.846	0.785	0.927	0.482	0.637	0.746	0.79	0.892
Sobic.002G263100	5.797	3.618	4.96	4.374	6.353	5.14	3.15	4.541	4.276	3.871
Sobic.002G263200	10.05	12.852	10.57	11.164	10.641	11.009	12.788	10.122	10.204	10.551
Sobic.002G263300	0.856	1.829	0.949	1.09	0.874	17.276	20.885	11.021	9.202	10.802
Sobic.002G263400	0.642	0.318	0.084	0.686	0.067	0.088	0.068	0.041	0.02	0.038
Sobic.002G263500	0	0	0	0	0	0	0	0	0	0
Sobic.002G263600	15.342	18.731	17.669	15.369	15.134	13.613	18.62	14.708	13.845	12.613
Sobic.002G263700	29.608	36.63	35.536	36.228	31.013	21.277	19.163	21.291	22.499	20.517
Sobic.002G263800	154.218	155.244	160.736	159.923	151.438	132.773	192.486	141.601	137.263	127.226
Sobic.002G263900	3.491	4.336	4.86	4.912	3.587	3.375	4.494	3.748	3.891	3.826
Sobic.002G264000	0.406	0.529	0.319	0.589	0.297	4.228	1.776	3.821	4.918	3.591
Sobic.002G264100	5.328	6.412	5.169	5.264	5.175	8.264	8.691	6.162	6.02	5.556
Sobic.002G264200	18.051	23.329	15.137	15.627	16.27	21.77	21.224	13.783	12.456	14.277
Sobic.002G264300	11.308	14.93	13.253	12.634	13.269	21.888	15.945	13.609	14.609	12.596
Sobic.002G264400	36.587	48.556	39.517	33.109	33.407	46.325	67.568	44.021	42.711	37.809
Sobic.002G264500	11.668	12.281	12.181	11.684	11.835	11.26	13.419	12.5	12.688	12.937
Sobic.002G264600	43.675	57.973	43.324	40.581	38.892	37.747	48.602	32.81	37.26	33.247
Sobic.002G264700	0	0.012	0.009	0.01	0	0.012	0.05	0.118	0.047	0.046
Sobic.002G264800	0.508	0.141	1.296	2.299	1.245	283.618	106.264	532.732	311.073	349.586
Sobic.002G264900	3.359	3.211	4.541	5.218	4.887	6.619	5.11	5.803	5.638	5.081
Sobic.002G265001	0.065	0.127	0.116	0.107	0.075	0.119	0.124	0.118	0.148	0.091
Sobic.002G265100	0.055	0.044	0.047	0.056	0.022	0.4	0.857	0.407	0.486	0.44
Sobic.002G265133	0	0	0	0	0	0	0	0.031	0	0
Sobic.002G265166	0	0	0.148	0	0	0	0	0	0	0
Sobic.002G265200	7.251	4.867	4.605	4.882	4.771	3.343	3.583	3.858	4.191	4.53
Sobic.002G265300	11.507	22.727	21.688	19.291	20.67	13.158	32.051	19.431	15.578	15.596
Sobic.002G265400	0.019	0.04	0.008	0.029	0	1.505	2.55	2.579	2.341	2.794
Sobic.002G265500	0	0	0	0	0	0.054	0.228	0.071	0.051	0.051
Sobic.002G265600	0.112	0	0.041	0.11	0.064	0.026	0.039	0.093	0.229	0.165
Sobic.002G265700	0.013	0.061	0.005	0.024	0.047	0	0.007	0.006	0	0.007
Sobic.002G265800	2.456	1.66	3.027	2.853	3.351	0.077	0.056	0.535	0.202	0.545
Sobic.002G265900	4.188	6.251	3.693	3.454	4.313	0.118	0.829	0.556	0.436	0.651
Sobic.002G266000	37.667	58.606	40.069	35.525	32.539	25.833	55.173	31.781	28.047	29.791
Sobic.002G266100	0.086	0	0	0.023	0.032	0	0	0.031	0	0
Sobic.002G266200	4.389	8.278	6.788	5.272	8.368	2.973	5.834	3.004	2.909	3.235
Sobic.002G266250	0.023	0.028	0	0	0	0	0.076	0.1	0.079	0.018
Sobic.002G266300	13.739	9.853	14.869	15.027	14.998	9.249	7.963	7.511	7.521	7.498
Sobic.002G266400	3.366	1.292	2.399	2.022	3.589	0	0.107	0.099	0	0
Sobic.002G266500	0.017	0.039	0.013	0	0.015	0	0.016	0	0	0
Sobic.002G266600	0	0.011	0.007	0.006	0	0	0	0	0	0.004
Sobic.002G266700	0.437	0.113	0.155	0.273	0.266	0	0	0	0.015	0
Sobic.002G266800	5.567	4.966	5.656	4.93	4.991	3.558	5.384	3.775	3.648	3.068
Sobic.002G266900	1.119	1.158	0.547	0.434	0.832	2.26	1.65	1.15	0.884	1.371
Sobic.002G267000	0	0	0	0	0	0.054	0.071	0.089	0.051	0.014
Sobic.002G267050	0	0	0	0	0	0.015	0	0.012	0.013	0
Sobic.002G267100	0.013	0	0	0	0	0.083	0.279	0.118	0.146	0.151
Sobic.002G267300	1.182	1.817	1.333	1.184	1.369	1.955	2.234	1.428	1.689	1.371
Sobic.002G267400	13.065	11.699	12.243	11.455	12.23	13.773	15.82	11.815	11.808	11.797
Sobic.002G267500	67.786	85.035	81.862	66.107	60.335	28.559	66.291	41.966	40.741	37.699
Sobic.002G267600	0.722	0.779	0.899	1.411	0.997	0.688	0.687	1.172	1.141	1.182
Sobic.002G267700	0.009	0	0	0	0.01	0.01	0.03	0.048	0.075	0.017
Sobic.002G267800	6.242	5.531	8.394	7.573	7.302	6.252	14.687	18.523	12.921	18.143
Sobic.002G267900	1.153	1.43	1.291	1.281	1.058	10.486	9.645	14.542	17.279	12.668
Sobic.002G268000	8.654	9.452	8.047	8.026	8.305	5.685	6.938	4.69	4.152	5.088
Sobic.002G268100	66.606	78.63	81.772	102.03	86.174	77.584	88.388	94.055	94.002	93.158
Sobic.002G268200	1.837	1.38	1.401	1.385	1.771	2.219	2.583	4.122	3.163	4.151
Sobic.002G268250	0	0.017	0	0	0	0	0	0.061	0	0.031
Sobic.002G268300	0.009	0	0	0	0.018	0.018	0	0	0.017	0.009
Sobic.002G268400	38.769	36.257	38.423	38.88	38.161	31.265	34.608	27.635	28.147	25.883
Sobic.002G268450	0	0	0	0	0	0	0	0	0	0.02
Sobic.002G268500	0	0	0.01	0.011	0	1.192	1.301	0.855	0.749	1.005
Sobic.002G268600	0.127	0.204	0.269	0.392	0.256	0.209	0.416	0.194	0.128	0.199
Sobic.002G268700	41.585	52.58	66.138	75.853	74.526	32.792	33.772	37.55	37.547	36.721
Sobic.002G268800	29.788	29.152	33.51	33.091	34.777	31.893	42.709	31.48	30.63	27.682
Sobic.002G268900	4.409	5.469	4.533	4.697	4.413	7.723	7.001	6.652	7.456	7.039
Sobic.002G268966	0.034	0	0	0	0.032	0	0.037	0	0	0
Sobic.002G269032	0.022	0	0.009	0	0.012	0.011	0.011	0	0	0
Sobic.002G269100	0.042	0.027	0.054	0.155	0.07	0	0	0.024	0	0
Sobic.002G269300	0.125	0.072	0.06	0.151	0.046	0.308	0.05	0.043	0.047	0.007
Sobic.002G269400	1.424	0.765	0.276	0.787	0.177	1.816	0.755	0.465	0.384	0.211
Sobic.002G269500	0.227	0.249	0.095	0.217	0.244	0.734	0.503	0.414	0.316	0.426
Sobic.002G269600	0.299	1.175	0.982	0.702	1.222	0	0	0	0	0
Sobic.002G269700	0	0	0	0	0	0	0	0	0	0
Sobic.002G269800	0	0.022	0	0	0	0	0	0	0	0
Sobic.002G269900	0.418	3.552	2.414	1.444	5.909	0.103	0.03	0.062	0.04	0.075
Sobic.002G270000	10.717	8.965	8.768	8.543	10.705	9.58	7.838	7.977	7.063	8.58
Sobic.002G270100	8.397	7.194	8.709	7.578	8.626	9.076	9.221	8.077	8.845	6.658
Sobic.002G270200	46.362	25.792	17.208	15.861	16.721	12.952	17.261	11.253	10.58	10.954
Sobic.002G270300	34.629	24.606	16.182	14.722	14.604	24.973	43.839	31.968	30.177	29.475
Sobic.002G270400	0	0	0	0	0	0	0	0	0	0
Sobic.002G270500	33.606	42.683	36.147	32.582	30.963	34.2	43.478	24.375	25.776	23.825
Sobic.002G270600	0.055	0.09	0.162	0.069	0.04	0.115	0.108	0.158	0.124	0.115
Sobic.002G270700	84.497	103.206	93.262	87.254	88.45	172.841	178.89	195.257	176.284	183.873
Sobic.002G270733	0	0	0	0.017	0.019	0	0	0.036	0.059	0
Sobic.002G270766	4.509	6.853	6.382	2.917	2.653	5.322	15.871	16.037	15.283	5.615
Sobic.002G270800	3.852	5.219	3.944	3.745	3.841	5.541	5.44	4.983	5.232	4.554
Sobic.002G270900	0.195	0.559	0.253	0.268	0.176	11.271	9.19	10.77	9.193	10.103
Sobic.002G271000	0.118	0.091	0.068	0.046	0.081	0.286	0.169	0.116	0.038	0.102
Sobic.002G271100	1.002	0.892	0.571	0.479	0.511	1.936	1.989	1.133	0.553	0.62
Sobic.002G271200	7.983	5.729	4.973	4.687	5.263	3.535	2.32	2.387	3.556	2.619
Sobic.002G271300	30.035	39.732	30.017	27.876	24.95	21.307	26.296	18.335	14.533	14.845
Sobic.002G271400	6.847	5.982	6.604	7.349	7.929	6.865	5.215	5.325	5.162	5.263
Sobic.002G271500	0	0	0.051	0	0	0	0.068	0	0.061	0.064
Sobic.002G271600	9.199	7.219	3.344	2.649	3.271	10.16	5.878	7.332	2.573	4.695
Sobic.002G271700	2.562	4.174	2.217	2.236	2.281	112.908	43.623	53.605	17.097	20.814
Sobic.002G271800	0.741	0.527	0.724	0.632	1.238	0.607	0.346	0.199	0.222	0.604
Sobic.002G271900	9.829	11.35	8.893	9.212	8.499	11.755	11.191	9.587	8.662	8.1
Sobic.002G272000	1.814	2.071	1.213	1.404	1.431	0.992	0.792	0.708	0.988	0.889
Sobic.002G272100	0.499	0.843	0.85	0.551	0.539	3.792	3.818	4.795	6.623	4.795
Sobic.002G272200	0.103	0.211	0.119	0	0.111	0.403	0.329	0.264	0.238	0.345
Sobic.002G272250	0.177	0.433	0.142	0.09	0.22	0.674	0.755	0.55	0.544	0.697
Sobic.002G272300	0.869	1.017	1.201	1.64	1.755	1.797	0.751	1.412	1.331	1.45
Sobic.002G272350	0	0.076	0.061	0.126	0.169	0.083	0.084	0.067	0.087	0.215
Sobic.002G272400	2.122	3.366	1.793	1.999	2.207	5.731	13.142	6.24	6.407	6.336
Sobic.002G272500	92.158	55.074	90.524	101.652	94.933	143.137	73.527	149.649	162.035	149.072
Sobic.002G272600	25.617	29.273	26.974	25.611	24.147	22.173	27.859	24.817	27.119	25.266
Sobic.002G272700	2.022	9.835	4.287	3.483	6.715	10.845	5.418	7.422	5.343	8.18
Sobic.002G272800	9.341	9.161	7.907	8.277	7.902	9.501	10.877	9.057	8.51	7.751
Sobic.002G272900	16.623	12.784	11.267	10.049	12.804	4.568	8.879	4.822	4.353	5.196
Sobic.002G273000	0.588	0.681	0.484	0.57	0.634	0.757	0.753	0.465	0.579	0.516
Sobic.002G273100	1.062	1.082	0.84	1.084	1.082	1.094	0.926	0.914	0.788	0.867
Sobic.002G273200	0	0	0	0	0	0	0	0	0	0.004
Sobic.002G273300	42.497	71.815	52.438	44.851	44.171	90.571	140.267	133.626	143.243	141.058
Sobic.002G273400	0.053	0.155	0.054	0.095	0.073	0.057	0.086	0.056	0.041	0.062
Sobic.002G273500	0.147	0.082	0.241	0.167	0.283	4.076	1.682	2.228	2.103	2.731
Sobic.002G273600	0.081	0.087	0.095	0.007	0.043	1.015	2.647	0.488	0.206	0.44
Sobic.002G273700	0.624	1.813	0.798	0.637	0.732	1.642	4.396	1.253	1.162	1.433
Sobic.002G273800	0.767	1.981	0.528	0.622	0.693	0.305	1.256	0.336	0.16	0.215
Sobic.002G273900	69.091	63.172	60.838	61.543	56.945	64.906	77.593	65.443	66.059	70.653
Sobic.002G274000	3.794	3.948	4.327	5.003	5.033	5.075	5.799	5.991	5.998	6.961
Sobic.002G274100	3.819	2.407	1.379	1.58	4.124	2.802	2.176	2.375	1.692	1.698
Sobic.002G274200	1.441	1.777	2.072	2.248	2.038	46.966	34.88	47.445	66.066	50.819
Sobic.002G274300	0.336	0.414	0.207	0.3	0.21	0.027	0.083	0.052	0.053	0.077
Sobic.002G274400	0	0	0	0	0	0	0	0	0	0
Sobic.002G274500	0.756	0.385	0.442	0.268	0.2	0.189	0.485	0.349	0.371	0.679
Sobic.002G274600	0.711	1.989	1.066	0.687	1.348	0.007	0.007	0.022	0	0.024
Sobic.002G274700	23.4	21.793	24.777	22.946	23.15	23.102	18.309	17.758	19.383	17.671
Sobic.002G274800	9.444	10.984	7.292	6.063	7.35	1.72	19.086	4.417	2.613	4.389
Sobic.002G274850	0.037	0.037	0.059	0.076	0	0.04	0.036	0	0.069	0.037
Sobic.002G274900	0.095	0	0.016	0.016	0	0	0.022	0	0	0
Sobic.002G275000	0	0.018	0	0.012	0	0.016	0.03	0.044	0.013	0.045
Sobic.002G275050	0	0.011	0	0	0	0	0.022	0	0	0
Sobic.002G275100	32.85	34.007	19.542	9.969	9.863	48.423	90.772	47.178	4.469	20.759
Sobic.002G275200	4.993	5.967	5.946	5.281	4.998	6.582	6.468	4.727	4.092	4.544
Sobic.002G275300	9.516	12.278	7.535	7.314	7.4	40.403	35.309	37.17	34.6	37.676
Sobic.002G275400	0	0	0	0	0	0	0	0	0	0
Sobic.002G275500	8.936	16.218	7.674	8.368	8.435	8.151	6.869	4.902	4.911	5.093
Sobic.002G275600	8.574	10.387	11.003	10.015	9.683	10.039	10.112	9.331	10.2	9.334
Sobic.002G275700	32.98	36.665	35.009	31.527	30.551	36.884	31.856	33.092	36.41	35.247
Sobic.002G275800	0.099	0.046	0.074	0.099	0.074	0.13	0.066	0.17	0.082	0.074
Sobic.002G275900	40.757	27.372	31.436	26.08	27.485	28.148	24.175	18.799	19.089	16.137
Sobic.002G276000	9.485	6.486	9.975	9.222	14.786	18.974	9.977	21.225	21.119	22.532
Sobic.002G276100	63.348	76.095	55.408	50.696	47.8	59.224	49.371	36.736	39.3	36.443
Sobic.002G276400	2.173	2.645	2.167	1.91	2.137	1.701	2.723	2.426	2.321	2.364
Sobic.002G276500	0	0.018	0.024	0.013	0.016	0.032	0.015	0	0.017	0.044
Sobic.002G276600	117.407	126.886	120.13	123.321	121.803	139.314	157.776	136.849	123.089	124.62
Sobic.002G276700	9.816	9.375	7.525	7.559	7.342	6.146	5.597	6.471	6.626	6.964
Sobic.002G276800	35.039	35.7	36.222	34.273	38.556	37.723	44.233	39.677	38.725	37.331
Sobic.002G276900	53.536	50.157	49.79	45.353	45.485	52.552	56.531	48.203	49.126	48.347
Sobic.002G277000	0	0	0	0	0	0	0	0	0	0
Sobic.002G277100	110.479	85.048	110.76	109.099	105.291	487.072	358.084	568.503	756.029	633.663
Sobic.002G277200	7.538	5.691	7.431	7.233	7.716	4.678	5.132	3.948	3.6	3.223
Sobic.002G277300	33.171	29.07	29.88	27.116	27.569	33.289	32.734	27.308	25.086	24.227
Sobic.002G277366	0	0	0	0	0.02	0	0	0	0	0
Sobic.002G277432	0	0	0	0	0	0	0	0	0	0
Sobic.002G277500	0	0	0	0	0	0.018	0	0	0	0
Sobic.002G277600	16.967	17.042	19.199	18.228	17.287	17.865	21.408	14.81	16.522	14.52
Sobic.002G277700	3.653	2.518	1.518	1.544	2.711	0.044	0.066	0.046	0.01	0.028
Sobic.002G277800	0	0	0	0	0.06	0	0	0	0	0
Sobic.002G277900	8.316	7.814	5.019	5.062	5.862	5.421	4.101	2.563	2.023	2.594
Sobic.002G278000	2.021	3.095	2.255	2.004	2.197	3.207	2.785	1.977	2.349	2.055
Sobic.002G278100	4.429	3.594	4.14	4.781	5.508	3.138	3.103	2.57	2.759	3.026
Sobic.002G278200	0.341	0.175	0.283	0.295	0.422	0.083	0.065	0.052	0.067	0.065
Sobic.002G278300	9.038	5.761	1.691	1.848	2.259	3.533	1.236	1.059	0.934	1.134
Sobic.002G278400	0	0	0	0.012	0.014	0	0.014	0	0.013	0
Sobic.002G278500	5.311	3.316	2.152	2.076	2.289	0.967	1.438	0.575	0.581	0.767
Sobic.002G278600	36.974	35.727	36.776	38.529	38.466	33.34	34.774	26.615	29.71	27.45
Sobic.002G278700	0	0.021	0	0	0	10.599	0.018	8.663	12.559	15.186
Sobic.002G278800	0.064	0.062	0.033	0.1	0.201	38.952	0	12.212	15.467	16.276
Sobic.002G278900	0.019	0.104	0.098	0.071	0.047	0.883	0.159	0.332	0.21	0.178
Sobic.002G279000	42.636	36.27	45.776	46.683	55.458	40.779	42.282	42.047	42.978	39.95
Sobic.002G279100	15.62	15.303	9.525	8.777	10.181	9.894	5.902	3.88	4.282	4.315
Sobic.002G279200	0.398	0.373	0.345	0.61	0.298	0.151	0.302	0.121	0.314	0.26
Sobic.002G279300	3.356	2.766	3.937	3.969	4.355	5.231	3.339	5.868	5.644	6.531
Sobic.002G279400	2.922	3.18	3.723	4.248	4.015	7.751	8.186	7.649	8.35	8.507
Sobic.002G279500	25.367	35.193	29.911	26.472	28.793	64.324	66.017	46.757	49.93	41.799
Sobic.002G279600	15.734	13.448	29.625	43.352	30.869	16.811	17.428	18.264	15.917	17.313
Sobic.002G279700	60.002	67.07	68.777	63.487	61.601	75.884	84.406	82.725	80.48	79.52
Sobic.002G279800	7.25	6.973	9.138	9.241	8.294	5.348	6.24	5.576	6.153	5.143
Sobic.002G279900	1.112	1.475	1.228	1.235	1.16	1.681	1.029	1.404	1.242	1.325
Sobic.002G280001	0	0	0	0.015	0.096	0.08	0.019	0.138	0.058	0.015
Sobic.002G280100	8.014	8.839	9.076	8.223	8.02	10.695	12.759	11.846	11.178	9.859
Sobic.002G280200	84.15	72.493	74.696	66.855	64.931	69.466	93.518	69.153	55.149	48.155
Sobic.002G280300	0.183	0.12	0.186	0.222	0.262	0.224	0.088	0.201	0.206	0.158
Sobic.002G280400	229.615	224.039	287.379	262.771	308.139	164.162	133.813	191.16	183.014	170.95
Sobic.002G280500	3.323	1.322	2.199	2.177	2.732	24.928	6.73	12.478	11.087	11.4
Sobic.002G280600	2.665	2.827	2.386	2.502	2.598	2.806	2.975	2.09	2.024	2.317
Sobic.002G280700	4.445	3.319	5.369	5.029	4.82	2.542	2.016	3.487	4.1	3.459
Sobic.002G280800	0.147	0.099	0.079	0.066	0.093	1.779	2.047	0.975	0.847	1.044
Sobic.002G280850	0	0.064	0.074	0.066	0	0	0	0	0	0
Sobic.002G280900	13.74	12.901	13.28	13.508	13.337	9.618	8.703	6.918	7.798	8.099
Sobic.002G280950	0	0	0	0.025	0	0	0	0	0.028	0
Sobic.002G281000	0.133	0.224	0.133	0.117	0.175	54.625	23.179	31.204	21.59	27.924
Sobic.002G281100	6.243	4.934	4.113	4.358	4.718	0.521	0.844	0.832	0.802	0.895
Sobic.002G281200	0.623	0.901	0.49	0.26	0.57	0.928	2.417	1.502	2.063	2.538
Sobic.002G281300	35.286	27.582	31.393	33.854	33.439	33.914	38.346	28.576	28.448	28.788
Sobic.002G281400	6.939	3.758	5.944	5.802	8.183	3.237	2.852	2.265	1.875	2.607
Sobic.002G281500	5.845	5.532	4.205	4.594	4.172	20.161	10.796	12.084	13.122	11.61
Sobic.002G281600	41.681	33.748	54.803	65.688	59.791	25.653	21.291	32.227	32.259	26.747
Sobic.002G281700	86.13	71.938	38.883	41.991	50.231	97.598	43.639	42.502	40.63	45.588
Sobic.002G281800	35.656	33.209	34.522	30.985	30.048	53.003	41.817	37.938	39.588	39.342
Sobic.002G281850	0.012	0.006	0.005	0.012	0.018	0.006	0.013	0.013	0.005	0.012
Sobic.002G281900	2.836	3.035	2.339	2.945	2.8	4.259	4.838	5.379	5.587	5.341
Sobic.002G282000	1.311	1.51	1.211	0.976	1.436	0.745	0.463	0.898	0.628	0.838
Sobic.002G282100	0.407	0.333	0.17	0.17	0.241	1.101	0.629	0.92	0.728	0.841
Sobic.002G282150	0	0	0	0	0	0	0	0	0	0
Sobic.002G282200	0.905	0.755	0.848	0.91	1.029	0.598	0.362	0.516	0.668	0.501
Sobic.002G282300	5.042	2.065	1.686	1.699	1.738	2.712	2.215	1.425	1.638	1.987
Sobic.002G282400	51.246	46.698	46.231	49.437	47.623	40.591	49.935	37.151	37.834	32.671
Sobic.002G282500	35.531	40.616	39.877	35.115	37.405	41.12	25.222	23.55	22.058	21.719
Sobic.002G282600	0.005	0	0.026	0	0	0.017	0.017	0.012	0.012	0.016
Sobic.002G282800	0.01	0	0	0	0	0	0	0	0	0
Sobic.002G282900	0.022	0.026	0.009	0.019	0	0.211	0.35	0.262	0.252	0.365
Sobic.002G283000	0.164	0.277	0.075	0.057	0.067	0.086	0.132	0.043	0.026	0
Sobic.002G283100	9.348	11.566	6.526	6.743	6.681	1.147	1.117	1.064	1.185	1.19
Sobic.002G283200	0.077	0.054	0	0.106	0.018	0.051	0	0	0.015	0.016
Sobic.002G283300	19.208	11.463	17.684	16.472	16.344	30.988	10.462	19.098	19.913	17.544
Sobic.002G283400	3.415	3.143	2.173	2.406	2.427	2.524	2.155	1.705	1.964	2.147
Sobic.002G283500	11.466	11.228	10.847	9.554	8.858	8.601	2.654	3.788	4.628	6.578
Sobic.002G283600	36.466	37.564	33.095	31.454	31.897	25.86	26.792	19.891	21.081	20.816
Sobic.002G283800	0.214	0.272	0.283	0.223	0.304	1.653	0.704	1.419	1.564	1.375
Sobic.002G283900	1.638	0.952	1.501	1.216	1.643	0.58	0.399	0.474	0.441	0.597
Sobic.002G284000	0.054	0.12	0.071	0.031	0.061	0.05	0.019	0.146	0.09	0.128
Sobic.002G284100	16.405	14.241	15.415	15.932	15.719	21.078	14.226	17.494	18.994	19.26
Sobic.002G284200	8.339	9.311	7.105	6.796	6.173	7.855	5.727	5.188	6.204	5.869
Sobic.002G284300	0	0	0	0.023	0	0	0	0	0	0
Sobic.002G284400	0.341	3.14	2.398	2.615	2.139	0.14	0.159	0.112	0.145	0.179
Sobic.002G284500	0	0	0	0	0	0	0	0	0	0
Sobic.002G284600	0.369	2.845	0.55	0.245	0.367	0.926	0.049	0.067	0.044	0.049
Sobic.002G284701	0	0	0	0	0	0.08	0.124	0	0.203	0.072
Sobic.002G284800	0.101	0.362	0.043	0	0.12	0.396	0.285	0.594	0.855	0.837
Sobic.002G284901	0.114	0.098	0.086	0.093	0.031	1.553	0.869	0.669	0.747	0.644
Sobic.002G285001	0	0.037	0.03	0.061	0.034	0	0	0	0	0
Sobic.002G285101	0	0	0	0	0	0.034	0	0.027	0	0.031
Sobic.002G285200	0	0	0.037	0	0.087	0.182	0.095	0.051	0.175	0.215
Sobic.002G285300	0.06	0.013	0.081	0.022	0.182	4.144	2.303	2.608	2.876	2.083
Sobic.002G285375	0	0	0	0	0	0.066	0.069	0	0.094	0
Sobic.002G285450	0.14	0.559	0.469	0.02	1.257	25.829	15.886	20.158	16.341	14.695
Sobic.002G285525	0	0	0	0.072	0	1.852	2.286	1.626	1.232	1.097
Sobic.002G285600	0.035	0	0.028	0	0	5.674	4.289	2.386	3.027	2.52
Sobic.002G285700	0.488	0.4	0.277	0.401	0.415	6.281	2.93	2.095	1.808	1.672
Sobic.002G285800	0	0	0	0	0	0.398	0.839	0.592	1.089	0.379
Sobic.002G285950	0	0	0	0	0	0.108	0.225	0.07	0.109	0.144
Sobic.002G286100	7.814	7.008	10.106	9.533	9.473	16.078	14.727	20.114	21.198	18.82
Sobic.002G286150	0	0	0	0	0	0	0	0	0.024	0.025
Sobic.002G286200	25.828	25.314	23.624	25.856	27.179	38.106	28.904	28.22	28.451	30.93
Sobic.002G286300	2.728	4.235	1.761	1.66	2.036	6.982	4.99	2.728	1.791	2.503
Sobic.002G286400	0.09	1.188	0.356	0.22	0.245	8.463	7.037	6.594	8.969	8.172
Sobic.002G286500	0	0	0.005	0	0.007	0	0.02	0	0.012	0.005
Sobic.002G286566	1.629	1.055	1.556	1.771	2.285	0.107	0.167	0.115	0.118	0.125
Sobic.002G286632	1.599	1.811	1.856	2.092	2.303	5.471	4.459	3.657	4.108	4.489
Sobic.002G286700	5.523	4.879	5.958	9.097	9.529	18.637	10.429	13.749	13.549	14.068
Sobic.002G286800	2.666	3.255	2.689	2.656	3.064	1.619	1.866	1.415	1.643	1.876
