Gene_ID	Bundle.Sheath.Cells	Mesophyll.cells
GRMZM2G127664	17.6581420263	3.7939273676
GRMZM2G176307	7.5519097974	1.5475230053
GRMZM2G023289	364.5337179394	137.9027226662
GRMZM2G025854	135.7122613596	19.6185980969
GRMZM2G382914	867.0628984083	678.0397166692
GRMZM2G124593	377.5214515399	235.0487764356
GRMZM2G004534	211.5645318249	157.5852660111
GRMZM2G080375	63.4014910746	34.8691877141
GRMZM2G004932	51.4566402864	26.8819722015
GRMZM2G030784	281.7479340287	34.4610909217
GRMZM2G018177	196.6384042253	70.9439457619
GRMZM2G100391	212.7861642921	154.5526201221
GRMZM2G046952	128.2714090592	14.0025871913
GRMZM2G026702	18.3615061741	2.6956852347
GRMZM2G169671	82.4787011209	40.8845593928
GRMZM2G154332	51.2345252923	17.709154389
GRMZM2G133023	28.2826425747	7.1884939592
GRMZM2G144716	23.9143810252	11.6813026836
GRMZM2G447151	16.5845862218	0.5990411633
GRMZM2G066219	12.9567079858	0.374400727
AC234519.1_FG006	5.3393976626	0.383136744
GRMZM2G016958	22.8778443863	3.1449661071
GRMZM2G129585	21.323039428	1.9468837806
GRMZM2G121820	377.3449935415	207.4329788092
GRMZM2G065494	32.3917699644	15.7248305357
GRMZM2G039696	64.7341810389	32.6103033252
GRMZM2G155767	30.8764521137	14.2646677002
GRMZM2G158252	11.1057497021	2.3587245804
AC217977.3_FG004	65.0426740886	32.1610224527
GRMZM2G072238	12.0312288439	2.4336047258
GRMZM2G438202	39.9436797619	16.2489915535
GRMZM2G174347	14.8508552936	4.4553686518
GRMZM2G166639	36.7662013724	10.0713795574
GRMZM2G018006	105.0603921818	27.5558935101
GRMZM2G079949	39.6475264365	16.3238716989
GRMZM2G049159	19.7312153041	5.690891051
GRMZM2G016605	7.1076798093	1.0483220357
GRMZM2G148281	24.72880267	3.2572863252
GRMZM2G104843	18.8057361622	6.7392130867
GRMZM2G082792	27.5669387025	4.5177687727
GRMZM2G056252	2130.4900036843	1366.0010526051
GRMZM2G064056	751.0818523527	414.3455406078
GRMZM2G149580	326.0771510001	49.1463354336
GRMZM2G136262	181.4309309666	65.8196478136
GRMZM2G175818	140.4507145658	73.7943832996
GRMZM2G122324	74.1123696786	9.2102578852
GRMZM2G143955	77.703228749	35.9424697958
GRMZM2G120539	60.4893167107	33.0221441249
GRMZM2G157113	8.6501450433	1.0483220357
GRMZM2G344634	114.0930686062	76.4526284615
GRMZM2G152105	432.7910658907	150.2095716884
GRMZM2G176546	30.3927350181	14.040027264
GRMZM2G033894	217.6726941611	113.5183004385
GRMZM2G175453	414.9108088703	141.2988343849
GRMZM2G062029	151.6185154232	87.0330147181
GRMZM2G015692	130.677654828	25.6090097295
GRMZM2G012737	91.992626699	32.4231029617
GRMZM2G080521	16.103337068	6.2150520689
GRMZM2G442551	24.72880267	4.9420895969
GRMZM2G170400	157.2944349473	74.52072071
GRMZM2G060886	39.2773347797	8.72353694
GRMZM2G122296	31.4610023682	5.3913704694
GRMZM2G014981	16.6586245531	6.4022524324
GRMZM2G106578	12.2163246723	2.2571015257
GRMZM2G133885	26.5575494543	5.8406513418
GRMZM2G040968	105.8007754953	36.3917506683
GRMZM2G007939	724.0578614109	240.9892679464
GRMZM2G450125	155.6655916577	66.1441284412
GRMZM2G112296	75.5190979742	34.145346306
GRMZM2G147770	281.9749849362	78.1374317332
GRMZM2G074158	90.9560900602	6.7392130867
GRMZM2G156356	59.7489333973	12.9917052283
GRMZM2G072091	58.2681667703	5.1667300332
GRMZM2G086845	23.3961127057	7.6752149043
GRMZM2G177906	59.2306650778	6.3648123597
GRMZM2G311182	25.9874543029	4.4928087245
GRMZM2G318780	25.1730326581	5.1667300332
GRMZM2G391936	552.1531957691	118.7599106171
GRMZM2G163437	792.8821313787	327.0078349838
GRMZM2G068506	41.0228765839	14.0088272009
GRMZM2G138060	41.4424271233	11.61765456
GRMZM2G008263	2343.8931538242	265.4625955205
GRMZM2G129451	508.60878511	193.7823283013
GRMZM2G121612	410.6165856521	174.0776180372
GRMZM2G044744	113.7969152808	33.1719044157
GRMZM2G126988	71.4469897501	18.4953959158
GRMZM2G462613	114.7223944226	80.8331169679
GRMZM2G008507	81.7383178074	36.0922300866
GRMZM2G055331	15.6961262456	5.4662506148
GRMZM2G003762	5493.7552434668	2749.0747783631
GRMZM2G094742	225.3726806212	127.1464869027
GRMZM2G478568	103.4192091456	16.461151963
GRMZM2G050108	94.4729107992	16.461151963
GRMZM2G113332	80.5537045059	19.094437079
GRMZM2G165998	574.315336261	233.7758139637
AC214479.2_FG001	28.1715850776	10.8201810115
GRMZM2G028307	8.4033506079	1.5724830536
GRMZM2G034417	185.9842883444	70.7617374105
GRMZM2G051276	93.982406854	30.0269383086
GRMZM2G004528	3004.4902937398	1443.0539704819
GRMZM2G054936	82.4787011209	7.7875351224
AC207628.4_FG009	30.0462826343	10.3829641616
GRMZM2G159008	8.2182547796	0.2995205816
GRMZM2G047592	700.0324228887	81.6942386401
GRMZM2G111164	123.4959366873	71.2858984284
GRMZM2G144764	61.5258533496	18.6451562066
GRMZM2G039588	47.2364553996	24.5606876938
GRMZM2G132607	45.6446312756	6.4396925051
GRMZM2G069758	15.3999729202	4.8672094515
GRMZM2G311756	58.0707312176	33.2405445515
GRMZM2G175423	99.137325674	42.3821623009
GRMZM2G174396	46.5701104175	9.8467391211
GRMZM2G140078	18.3491664498	4.0060877793
GRMZM2G001304	43.8060127163	12.7296247194
GRMZM2G068943	9.9087966762	1.4976029082
GRMZM2G305007	146.5218577363	111.3467762217
GRMZM2G127374	284.9735373558	62.3002809794
GRMZM2G022997	71.9652580696	10.7078607933
GRMZM2G179981	80.0354361864	51.1431393136
GRMZM2G325008	24.2475535162	10.3334600663
GRMZM2G162768	8.5884464363	0.7488014541
GRMZM2G172491	600.8950972147	137.4050668236
GRMZM2G063756	523.2288876314	129.767291992
GRMZM2G020761	60.8965275332	33.5463051428
GRMZM2G104783	57.3056684628	9.9590593393
GRMZM2G162758	43.9417496546	16.8480327168
GRMZM2G167549	36.6489740169	21.0413208596
GRMZM2G093286	24.0624576879	5.5411307602
GRMZM2G105954	7.2063975842	0.8486416477
GRMZM2G022279	146.286609749	92.2164144943
GRMZM2G102572	41.8995256841	14.1773075281
GRMZM2G022050	29.1714844924	15.2755496632
GRMZM2G174975	9.1437339214	1.7222433444
GRMZM2G048904	8.3663314422	0.8236815995
GRMZM2G108133	271.5725993819	161.890874372
GRMZM2G376416	271.2024077252	132.6127375175
GRMZM2G127123	39.4624306081	8.6112167219
GRMZM2G008247	32.3917699644	6.5894527959
GRMZM2G032044	12.0557613858	1.6472740557
