Gene	Maternal.transfer.zone_8DAP	Maternal.transfer.zone_14DAP	Maternal.transfer.zone_20DAP	Basal.endosperm.transfer.layer_8DAP	Basal.endosperm.transfer.layer_14DAP	Basal.endosperm.transfer.layer_20DAP
GRMZM2G136910	172.3310277	527.3471513	121.5257606	29.20276917	94.660653185	11.877771014
GRMZM2G129034	346.2753636	513.7227207	458.8150198	118.3112861	73.182321865	43.58660401
GRMZM2G014914	402.1619175	554.03947115	502.88340845	147.34184935	92.760806705	48.79690304
GRMZM5G877388	386.0013508	457.26058835	737.16162955	202.37037715	282.8835187	560.3887259
GRMZM2G158568	797.05973985	622.316211	605.76204385	226.7877216	316.18186795	210.8374391
GRMZM2G112656	217.54484165	485.5848891	166.3335763	45.22456332	115.5584647	12.99826873
AC210314.3_FG006	552.3547938	566.00148035	703.64039	167.773101	187.83762285	334.91931585
GRMZM2G077034	1005.7834572	603.7800306	790.87027425	334.1416188	274.7721584	638.27037025
GRMZM2G479608	553.9181036	500.12664455	642.50677845	394.92391465	190.27469405	359.3937861
GRMZM2G168364	325.3362334	582.56844245	508.8101491	175.89168325	152.96965555	112.6712657
GRMZM2G153369	534.9156585	600.23810495	667.0566121	116.03223483	410.1649495	261.0448947
GRMZM2G024264	473.0953514	546.1906177	604.87723355	157.00798315	143.07233725	195.00336315
GRMZM2G078409	161.81802845	712.2364962	759.7457669	198.08692335	412.11264755	528.57844
GRMZM2G111533	465.7285553	579.6239679	311.8494409	217.2342601	83.499998555	81.529153215
GRMZM2G107302	466.1607233	557.66067745	273.89097955	24687.073475	6764.2670135	2963.6673715
GRMZM2G138392	268.9453938	575.42360085	415.71937105	7113.598459	3901.0715375	1574.116035
GRMZM2G397687	0	451.1121515	26.831055775	2.7781862125	58.336081295	27.098682115
GRMZM5G843972	205.85011913	545.8707813	1797.007828	3888.1267965	3823.892774	14582.17072
GRMZM2G341036	384.0750875	473.91183955	449.9327207	220.108631	193.24982295	185.1414009
GRMZM2G024104	348.5431213	522.0149418	528.6788246	133.0732984	160.3762524	126.13646275
GRMZM5G802392	1561.8522755	527.0034044	526.6571296	1428.8014215	864.5754669	755.3888345
GRMZM2G010447	78.537514535	580.9092624	621.4242046	12.08097285	85.34272171	113.1266781
GRMZM2G066197	251.7861772	476.95928405	361.22079225	113.010161	410.17552685	267.33044745
AC208023.3_FG001	585.0716886	526.1481095	714.9994554	393.1476363	623.07086325	753.8024904
GRMZM2G018103	430.7804897	472.15347275	357.8034441	361.9187848	157.490787	133.2826862
GRMZM2G149556	353.13941475	409.0926699	203.98155405	169.4112089	596.47784045	394.93822315
GRMZM2G305856	75.51374658	432.74544845	107.356309515	16.271737385	124.2765074	12.37492018
GRMZM2G065757	673.040439	442.5624431	332.69438015	661.4632381	246.63046755	196.8949539
GRMZM2G174719	218.18480695	433.3672101	238.60750775	65.310127615	134.3158377	45.209584115
GRMZM2G453805	1350.547727	473.327411	1.404995824	7.6662692765	14.2617878015	1.8562173985
GRMZM2G376432	297.0598462	510.8105678	194.93137275	319.6681737	703.48320475	789.4486492
GRMZM2G361611	462.17944625	444.4092973	326.46164075	329.52495725	100.067382685	49.54166526
GRMZM2G047456	552.68509375	520.5248414	174.9449038	331.5678008	103.970119825	99.441898675
GRMZM2G005939	97.055714125	448.8893172	629.7813948	60.32992686	250.83405005	294.37677055
GRMZM2G158400	360.0430078	633.5272962	277.19336255	10931.54129	3201.5749585	4206.084426
GRMZM2G044902	288.47526775	472.7305633	357.3902717	29.276851235	152.1219834	49.24181026
GRMZM2G119689	1113.855117	511.0625751	384.09353485	6737.991883	3178.8477595	2161.672614
GRMZM5G827266	660.98439325	410.3068981	734.37554675	596.623613	477.6643689	366.91257255
GRMZM2G108949	331.93741115	429.1278334	650.75355435	30.725640365	33.550941775	10.3361981145
GRMZM2G154449	119.1700029	414.85743925	9.4766096045	70.846469685	73.72023821	6.0594759425
GRMZM2G037685	192.2986389	539.09221725	134.1972618	15.9532018065	50.7602642	17.23144621
GRMZM2G074053	222.31651985	417.9469971	350.6181472	223.8032786	131.9662594	71.069889825
GRMZM2G359102	548.59735465	411.4486187	524.00500805	167.9540024	89.100565615	31.70071308
GRMZM2G013986	351.7611639	502.2253146	594.66916105	221.91549315	217.3194936	184.9832048
GRMZM2G036427	423.3741424	434.57739085	819.7500049	176.97683765	153.6745334	282.5950343
GRMZM2G108780	252.1542021	486.36142085	487.17011755	166.18437235	348.22773145	389.2739354
GRMZM2G074017	157.2006416	440.51656575	197.54245655	23.949067145	90.85902482	23.67042377
GRMZM2G003409	307.91871805	411.1282597	530.1332283	2012.0557425	5297.471571	4913.7807575
GRMZM2G091433	211.94790055	387.10849315	318.7067769	31.6999484255	317.90071285	97.21373906
GRMZM2G082390	495.78587125	480.61549525	748.41237965	247.3871315	410.29699895	434.21295205
GRMZM2G055704	148.53421075	480.195517	565.6448231	49.49652262	71.144808035	62.79979927
GRMZM2G037452	97.05033872	426.9916532	661.656513	52.209081165	247.7418051	180.4150193
GRMZM2G098904	135.9118531	424.82683605	261.78336005	74.79908669	143.65967115	61.71623421
GRMZM2G066222	505.46079915	444.65224675	422.5026813	205.3359087	530.3934066	213.459144
GRMZM2G036070	447.0371796	574.08847055	496.69724415	158.510873	368.57626495	364.12007385
GRMZM2G174221	214.2120377	419.3366148	230.47059615	71.629269955	137.473965265	232.3879737
GRMZM2G152703	487.87138855	449.98620375	528.15248355	373.1795082	253.6766062	194.9659738
GRMZM2G164440	87.51247705	507.55389355	41.973950775	90.12307424	160.28796535	21.60872512
GRMZM2G115750	707.7963555	457.47549995	445.37116125	304.50786185	129.31731685	130.69438825
GRMZM2G112795	519.26260775	383.36732275	560.72786705	127.85938505	312.0820982	329.13705475
GRMZM2G139675	400.61334085	408.78359355	390.7749881	216.91546295	432.4075623	427.8742357
GRMZM2G018070	141.3288141	440.8293197	241.86283665	52.61740074	75.531417675	43.761545745
GRMZM2G154397	521.03594805	409.80682905	408.26811655	325.1158436	208.2192906	318.611987
GRMZM2G118355	571.9044598	373.1395036	517.1478207	346.6808785	288.1107236	255.00255635
GRMZM2G385945	184.04042825	414.2546858	546.1706205	143.8011465	405.8412112	359.64189745
GRMZM2G027193	482.8013116	471.09269865	558.4235548	142.7670986	104.160941215	112.8365131
GRMZM2G012052	245.172181	430.11895175	671.8623118	120.5164408	261.2834009	339.79267025
GRMZM2G069911	584.33666425	455.2497695	311.04764855	124.6289264	78.55501324	37.915673735
GRMZM2G059620	0	458.06423325	73.071413295	0	111.246354235	74.50372558
GRMZM2G130678	1109.4188952	456.9101162	1040.88006285	246.96412715	890.49179505	505.0452816
GRMZM2G090779	401.4109503	426.62562485	281.5660322	679.2843864	281.4844046	215.8950784
GRMZM2G101480	379.1459618	462.91000375	491.4173255	384.3885085	386.75846705	719.47162135
GRMZM2G444743	326.58966455	457.57345315	403.25105855	391.3784541	107.57378322	53.894438085
GRMZM2G086904	221.30409635	482.078092	516.1631154	82.989025365	252.3305774	324.5561569
GRMZM2G004111	456.14411295	512.17988	478.6777029	181.3839347	365.36998485	354.40365415
GRMZM5G828396	57.758012265	407.1517465	202.44272495	36.522464925	77.081225805	57.13239716
GRMZM2G053898	555.07872605	385.05008995	563.4611654	260.9795127	548.3186225	544.8704809
GRMZM2G071154	540.71106145	488.46933375	525.89897485	404.4296949	225.2911259	148.8693149
GRMZM5G843352	144.723056	448.2518853	112.46574415	139.8910836	169.260672	24.684411525
GRMZM2G436295	144.723056	448.2518853	112.46574415	139.8910836	169.24534175	24.661147575
GRMZM2G088847	346.5732208	387.6268591	528.7612024	154.85347273	187.55910025	155.24630945
GRMZM2G173277	563.22217465	417.46771865	426.3963027	209.1547788	249.8011602	260.2927834
GRMZM2G070693	475.2709985	363.91001235	373.94172935	333.16894315	139.01780045	172.7182486
GRMZM2G413717	20.837362385	322.1016154	4218.2622285	0	50.639285925	489.8104055
GRMZM2G161560	449.74314055	429.24261025	392.44681665	207.99280445	287.51688235	124.747363705
GRMZM2G032145	44.792776645	366.2113979	269.824764	9997.4964575	4941.1831315	4807.401139
GRMZM2G346897	2.4842803435	364.31127805	48.394447095	0	68.862447695	73.910207985
GRMZM2G084063	190.4366713	371.3902133	346.76464055	104.07656845	445.84510885	385.31099985
GRMZM2G106105	330.3640995	471.26500245	314.20428885	190.3386957	248.0489186	271.9323761
GRMZM2G162788	421.3257352	434.241284	383.8024946	158.46929235	277.42403705	508.11967705
GRMZM2G154151	349.6141683	343.6193726	309.50164615	326.59565665	601.6529817	611.7830364
GRMZM2G041328	359.4652907	398.32009745	348.7374215	223.58982	281.30694125	249.04017705
GRMZM2G436593	276.33336945	381.81055155	453.3666125	235.94472895	79.942387515	64.575975955
GRMZM2G015955	303.1043972	393.0782449	317.87227105	266.5129941	71.73765935	47.2203311
GRMZM2G008341	0	450.11907315	42.022523385	0	89.20174153	51.442558365
GRMZM2G076029	373.4972274	408.8925423	219.3982172	326.85807405	85.44031281	27.75971581
GRMZM2G137954	175.13596805	357.41361385	735.0966299	950.60705345	3491.8119605	3400.9319865
GRMZM2G049790	254.6387837	386.50713215	879.2159767	105.34868884	104.12985697	169.54340455
GRMZM2G085550	94.16376018	359.57445665	143.4144631	9.6346218315	59.699708105	9.2462549755
GRMZM2G066111	88.933681235	395.2449819	399.1126334	33.975695125	147.99260035	59.88865105
GRMZM2G144387	258.3788054	352.11101665	388.32048315	213.410534	154.44583575	155.58092
GRMZM2G018941	252.2463154	418.50818725	476.530851	177.9619654	358.79705435	245.4334514
GRMZM2G147046	426.0360689	448.136105	357.16290415	495.5489973	341.79789765	453.4184215
GRMZM2G078876	700.64263815	390.2106067	695.74654685	640.524102	774.1473779	757.64409525
AC192451.3_FG001	187.0769973	366.1102931	356.2387665	76.397526315	75.11799849	36.46511472
GRMZM2G076826	133.12676615	372.6039669	280.41237465	89.141462145	122.7009897	105.02399813
GRMZM2G163877	361.1688553	398.04102255	343.76023095	240.62020985	129.16002878	131.52360705
GRMZM2G113696	761.85900045	392.5850921	380.0539142	407.2592776	193.2223028	367.1254113
GRMZM2G375249	615.2216477	410.9603914	295.3568463	125.842502055	58.851273525	16.823903545
GRMZM2G114702	243.56891725	387.5176166	334.0818903	138.12201095	247.2865947	310.78125975
GRMZM2G024551	350.7420644	657.0356537	815.6311285	90.944819665	166.5389669	160.44731055
GRMZM2G120008	45.54257915	313.31975465	128.14871236	1587.0153285	2247.048476	1013.9090187
GRMZM2G140998	696.62332145	488.71717795	569.3373462	367.5603771	148.32701875	186.26875655
GRMZM2G058032	194.80289555	352.92454635	417.5837141	280.1547688	168.26825205	229.08408155
GRMZM2G117439	354.6723618	393.7203426	468.5114002	199.45988055	108.365082905	84.79420556
GRMZM5G800014	431.55426075	405.2618936	632.501682	122.185699705	47.28142139	22.259618995
GRMZM2G171387	518.41681655	433.77137475	825.35848865	634.2690343	477.39260465	902.505576
GRMZM2G160687	233.8368522	406.9115845	595.45389425	148.97632025	61.81078303	52.76525072
GRMZM2G104204	7.16440223	405.6589378	68.86576141	0	57.447408525	3.807241587
GRMZM2G129166	58.06827066	296.20955605	22.07749884	5.28926032	38.90616633	7.885878459
GRMZM2G008913	1.1357891445	298.7882619	28.78212176	1.5442232325	71.18412519	44.335041
GRMZM2G370026	179.89170605	405.96705895	540.7217794	60.408295165	103.077462555	50.31647557
GRMZM2G008919	222.89072735	380.21056495	478.40652285	120.26870315	580.85330725	411.4850158
GRMZM2G153969	196.93790935	336.51549845	235.4443046	176.4148088	61.51147553	69.35078295
GRMZM2G180625	1076.7197005	314.0024534	291.6478392	257.15411845	248.4749813	247.37681405
AC205122.4_FG003	283.9229537	307.12265135	605.8154685	249.42053025	99.003908155	174.64510875
GRMZM2G041175	796.73598595	365.131296	408.3532632	448.5130485	87.540141855	24.937856075
GRMZM2G139093	283.52830275	314.41734025	282.6584711	189.4471173	72.7678099	50.06373871
GRMZM2G469380	1307.3161905	315.4879541	83.812059295	1077.5078365	423.4378221	138.63331585
GRMZM2G317931	154.74768605	292.8961176	243.3195267	51.24735526	118.15116809	67.74070697
GRMZM2G036286	172.6687086	314.67520055	281.3954972	42.46954599	69.33795207	37.270496175
GRMZM2G131024	284.38477565	281.59382965	339.76439935	142.3498879	255.86526735	255.7604232
GRMZM2G173747	587.1703902	304.8847585	345.9867201	470.3258203	375.9404746	716.6872401
GRMZM2G143086	165.7821927	352.6589274	339.02187175	47.92204556	192.425996	142.7460205
GRMZM2G060647	90.907522265	308.69832835	496.5426709	11.0860043315	228.8486146	572.62538815
GRMZM5G892124	286.882453	298.60756835	453.5294526	191.18603125	277.6084795	223.9696575
GRMZM2G143234	353.061811	360.9382945	597.1551337	131.0053454	174.57960495	288.039083
GRMZM2G153206	280.3511291	377.16077355	519.48620055	326.7627007	526.9860704	437.28912175
GRMZM2G096228	172.42838765	336.38898895	325.65333615	84.28558418	52.77614235	21.76640593
