Gene_ID	Leaf.base	Minus.1cm	Plus.4cm	Leaf.tip
GRMZM2G153754	6.984031495	0.06042497	0	0
GRMZM2G153797	4.351644458	1.970154782	2.590862946	2.580038117
GRMZM2G154904	10.02631081	0.032048211	0	0.046113256
GRMZM2G155002	3.638709177	0.221258417	0	0
GRMZM2G155314	1.052036808	0.094623825	0	0
GRMZM2G157616	16.21442472	0.044037159	0	0
GRMZM2G158293	1.37265755	0.0713734	0	0
GRMZM2G158313	51.8946036	0.548231249	0	0
GRMZM2G159149	6.718890541	0.22900556	0	0
GRMZM2G161313	10.5512196	0.479501378	0	0
GRMZM2G161315	10.86867092	1.555987108	8.844353126	7.195289866
GRMZM2G162292	41.55005674	17.42213572	21.8559717	20.19383912
GRMZM2G162316	1.842984189	0.044916796	0	0
GRMZM2G165005	3.610891234	0.088575282	0	0
GRMZM2G166445	1.225895726	0.0739641	0	0
GRMZM2G166684	2.319130865	0.319943542	0.49228383	0.324958331
GRMZM2G167812	2.526832057	0.062936863	0	0
GRMZM2G167824	1.354736633	0.042669616	0	0
GRMZM2G168375	13.48369689	2.086678283	4.70858628	3.541365262
GRMZM2G168439	124.2879649	11.90747562	13.80556405	12.93096065
GRMZM2G168665	11.16234582	8.782783934	18.23852012	10.49976184
GRMZM2G169914	5.657028306	0.310461968	0	0
GRMZM2G171569	18.05904619	10.09251194	17.12784515	10.14094101
GRMZM2G171716	14.17097783	0.326584494	0.410234674	0.352434834
GRMZM2G172081	0	0.021836267	1.304160939	0.049373629
GRMZM2G172657	7.463635728	0.116507511	0.25088456	0.143690858
GRMZM2G172734	16.64820368	0.259998186	0	0
GRMZM2G174370	10.61826154	1.926552517	2.14625566	1.95465872
GRMZM2G175952	9.076395994	0.712461743	0	0
GRMZM2G176141	7.155496861	0.045698706	0	0.082193205
GRMZM2G176304	4.769085721	0.086148562	0	0
GRMZM2G176638	7.741402929	0.621303607	1.215779957	0.986456316
GRMZM2G177940	2.896276965	0.022435506	0	0
