Gene_ID	Opaque2_endosperm	PbfRNAi_endosperm	PbfRNAi.opaque2_endosperm	Wildtype_endosperm
AC183817.2_FG002	0	0	0	0
AC183888.4_FG006	0	0	0	0
AC183888.4_FG008	0	0	0	0
AC183914.3_FG004	0	0	0	0
AC183915.4_FG001	0	0	0	0
AC183927.3_FG004	0	0	0	0
AC183928.4_FG001	0	0	0	0
AC183932.3_FG007	9.13535	10.1559666667	13.0792333333	4.7689033333
AC183938.4_FG011	0	0	0	0
AC183944.4_FG003	0	0	0	0
AC183950.2_FG002	0	0	0	0
AC183950.2_FG003	0.037678	0.4338183333	0.0349463333	0.097621
AC183950.2_FG004	0.0362174667	0.0092392667	0.0292557667	0.0305194667
AC183950.2_FG005	1.4094533333	1.2043333333	1.9239	1.5109466667
AC183968.2_FG001	0	0	0	0
AC184112.4_FG010	0	0	0	0
AC184116.3_FG001	0	0	0	0
AC184127.3_FG003	0	0	0	0
AC184130.4_FG005	0	0	0	0
AC184130.4_FG012	0.167393	0.707225	0.2733293333	0.0693646667
AC184133.3_FG001	0	0	0	0
AC184164.2_FG004	0	0	0	0
AC184164.2_FG006	0	0	0	0
AC184169.3_FG001	5.0881266667	4.1710066667	5.2669333333	5.75289
AC184170.4_FG002	0.0279439667	0	0	0
AC184171.4_FG002	0	0	0	0
AC184172.3_FG001	0	0	0	0
AC184699.3_FG005	0	0	0	0
AC184764.3_FG003	0	0	0	0
AC184764.3_FG006	0	0	0	0
AC184765.4_FG005	0	0	0	0
AC184771.4_FG003	0	0	0	0
AC184775.2_FG002	0	0	0	0
AC184788.2_FG001	0	0.0234181667	0	0.0201057
AC184789.4_FG002	0	0	0	0
AC184794.2_FG003	3.7571433333	0.379689	1.619696	3.06995
AC184831.3_FG003	0	0.0241127	0	0
AC184831.3_FG005	0	0	0	0
AC184831.3_FG008	0	0	0	0
AC184836.3_FG002	0	0	0.4248563333	0.448325
AC184857.2_FG006	0	0	0	0
AC184871.2_FG009	0	0	0	0
AC185108.3_FG006	0	0	0	0
AC185108.3_FG010	0.2476223333	0.2845924667	0.1360186667	0.1550485
AC185108.3_FG011	0	0	0.0881806667	0
AC185122.3_FG009	0	0	0	0
AC185126.3_FG006	0	0	0	0
AC185130.2_FG004	0	0	0	0
AC185130.2_FG005	0	0	0	0
AC185217.3_FG004	0	0	0	0
AC185217.3_FG007	0.0277844333	0	0	0
AC185226.4_FG001	13.7410666667	8.6574766667	10.4885166667	6.22507
AC185252.4_FG002	0	0	0	0
AC185254.4_FG002	0.088053	0.0372326667	0.088915	0
AC185256.3_FG002	0	0.0181746667	0	0
AC185256.3_FG003	0	0	0	0
AC185261.4_FG002	0	0	0	0
AC185265.3_FG003	0	0	0	0
AC185276.2_FG004	0	0	0	0
AC185276.2_FG006	0	0	0	0
AC185281.5_FG006	0	0	0	0
AC185300.4_FG002	0.6383113333	1.2929283333	1.8287433333	0.626533
AC185305.3_FG003	0	0	0	0
AC185415.3_FG005	1.3885766667	1.4336733333	1.41315	1.25419
AC185422.3_FG005	0	0	0	0
AC185427.5_FG004	0	0	0	0
AC185443.3_FG004	0	0	0	0
AC185460.3_FG004	0.0195140667	0	0	0
AC185466.3_FG001	0	0	0	0
AC185471.3_FG005	0.0834155	0.1705056667	0.5091073333	0.0632333333
AC185473.3_FG005	0	0	0	0
AC185475.3_FG001	0	0	0	0.0337416667
AC185478.4_FG005	0	0	0	0
AC185478.4_FG007	0	0	0	0
AC185487.4_FG001	0	0	0	0
AC185500.3_FG001	0	0	0	0
AC185501.3_FG001	0.208545	0	0	0.5112473333
AC185501.3_FG006	0	0	0	0
AC185504.4_FG002	0	0	0	0.0434426667
AC185522.2_FG002	0	0	0	0
AC185530.2_FG004	0	0	0	0
AC185586.4_FG003	0	0	0	0
AC185587.3_FG003	0	0	0	0
AC185588.2_FG002	0.2082886667	0.0902485667	0.1655543333	0.0319522333
AC185593.3_FG003	0	0	0	0.0667196667
AC185605.3_FG003	0	0	0	0
AC185610.3_FG001	0.355619	0	0	0
AC185611.3_FG001	0	0	0	0
AC185623.4_FG010	0.4758346667	0.2236943333	1.098819	0.4912
AC185623.4_FG012	0	0	0	0
AC185628.3_FG010	0	0	0	0
AC185642.4_FG001	0	0	0	0
AC185648.3_FG007	0	0	0	0
AC185649.2_FG003	0.186219	0	0.092338	0.0671673333
AC185655.3_FG004	0	0	0	0.0107246333
AC185655.3_FG005	0	0.0101222667	0	0.0306636
AC185656.3_FG002	0	0	0	0
AC185660.3_FG003	0	0	0	0
AC186009.3_FG001	0	0	0	0
AC186013.3_FG001	0	0	0	0
AC186145.3_FG002	0	0	0.0648737	0
AC186147.3_FG008	34.3495333333	27.3373666667	35.8967666667	28.2694666667
AC186156.3_FG004	0	0	0	0
AC186156.3_FG005	0.062012	0	0	0
AC186164.3_FG001	0	0	0	0
AC186166.3_FG008	0	0	0	0
AC186189.3_FG004	0	0	0.0285805667	0
AC186189.3_FG005	0	0	0	0
AC186195.4_FG001	0	0	0	0
AC186231.4_FG002	0	0	0.0117832333	0.0110644333
AC186233.3_FG007	0	0	0	0
AC186283.4_FG002	0	0	0	0
AC186284.3_FG007	0	0	0.011151	0
AC186287.7_FG005	0.0077684667	0.0372076	0.0292251333	0.0072484
AC186309.3_FG002	0	0	0	0
AC186309.3_FG006	0	0	0	0
AC186310.4_FG004	0	0	0	0
AC186322.4_FG003	0	0	0	0
AC186322.4_FG005	0	0	0	0
AC186329.3_FG006	0	0	0	0
AC186337.3_FG003	0	0	0	0
AC186375.3_FG001	0	0	0	0
AC186404.3_FG002	0	0	0	0
AC186406.4_FG006	0	0	0	0
AC186408.5_FG005	0	0	0	0
AC186412.4_FG011	0	0	0	0
AC186417.3_FG004	0	0	0	0
AC186417.3_FG006	0	0	0.038001	0
AC186424.4_FG009	0	0	0	0
AC186431.5_FG001	0	0	0	0
AC186433.4_FG001	0	0	0	0
AC186493.4_FG002	0	0	0	0
AC186500.3_FG001	0	0	0	0
AC186506.3_FG001	0	0	0	0
AC186512.3_FG007	12.53292	0	0	11.2720666667
AC186519.4_FG002	0.066666	0	0	0
AC186524.3_FG005	0	0	0	0
AC186524.3_FG006	0	0	0	0
AC186563.4_FG004	0	0	0	0
AC186577.3_FG006	0	0	0	0
AC186579.3_FG007	0	0	0	0
AC186581.3_FG003	0	0	0	0
AC186583.3_FG004	0	0	0	0
AC186585.4_FG002	0	0	0	0
AC186590.3_FG005	0	0	0	0
AC186590.3_FG006	0	0	0	0
AC186592.3_FG002	0	0	0	0
AC186592.3_FG003	0.043182	0.1417603333	0.1051766667	0
AC186602.4_FG003	0	0	0	0
AC186603.6_FG003	0.1443057667	0.1707254667	0.2078219333	0.2561642
AC186606.4_FG003	0	0	0	0
AC186611.4_FG005	0	0	0	0
AC186613.4_FG003	0	0	0	0
AC186619.3_FG001	0	0	0	0
AC186647.3_FG001	0	0	0	0
AC186653.4_FG005	0	0	0	0
AC186656.4_FG004	0	0	0	0
AC186656.4_FG012	0.2369566667	0.0278219667	0.084546	0.1677922
AC186663.3_FG006	0	0	0	0
AC186667.3_FG007	0	0	0	0
AC186669.3_FG002	0.0629256667	0.0239961667	0.0080434	0.0277863
AC186684.4_FG001	0	0	0	0
AC186691.4_FG006	0	0	0	0
AC186743.4_FG003	0.0989416667	0	0	0.1210836667
AC186781.4_FG006	0	0	0	0
AC186782.4_FG003	0	0	0	0
AC186785.4_FG002	0	0	0	0
AC186789.4_FG001	0	0	0	0
AC186800.3_FG005	0	0	0	0
AC186807.4_FG002	0	0	0	0
AC186815.3_FG003	0	0	0	0
AC186828.3_FG001	0	0	0	0
AC186845.4_FG009	0	0	0	0
AC186897.4_FG016	0	0	0.0759363333	0
AC186902.4_FG006	0	0	0	0
AC186902.4_FG009	0	0	0	0
AC186904.4_FG007	0	0	0	0
AC186905.3_FG013	0	0	0	0
AC187037.4_FG008	0	0	0	0
AC187046.3_FG009	0	0	0	0
AC187056.3_FG002	0	0	0	0
AC187065.3_FG003	0	0	0	0
AC187067.4_FG001	0	0	0	0
AC187072.4_FG001	0	0	0	0
AC187072.4_FG002	0	0	0	0
AC187080.3_FG006	0	0	0	0
AC187080.3_FG007	0	0	0	0
AC187082.3_FG003	0	0	0	0
AC187086.3_FG004	0	0	0	0
AC187088.3_FG002	0	0	0	0
AC187090.3_FG003	0	0	0	0
AC187090.3_FG011	0	0.0135429333	0	0
AC187092.6_FG003	0	0	0	0
AC187096.5_FG001	0	0	0	0
AC187098.4_FG011	7.7546233333	5.6592566667	8.5731433333	5.0548966667
AC187099.5_FG005	0	0	0	0
AC187142.3_FG007	0	0	0	0
AC187157.4_FG001	0	0	0.0347046667	0
AC187157.4_FG002	8.0333566667	6.4877533333	7.5642966667	5.0588133333
AC187157.4_FG005	0.0871910667	0.1573082	0	0.0492551667
AC187160.3_FG003	0	0	0	0
AC187207.3_FG006	0	0	0	0
AC187209.5_FG003	0	0.0215103667	0	0
AC187209.5_FG010	0	0	0	0
AC187212.3_FG011	0	0	0	0
AC187222.4_FG001	0	0	0	0
AC187235.3_FG003	0	0	0	0
AC187243.3_FG005	0	0.156139	0.125426	0
AC187262.4_FG007	0.3365926667	0.7458516667	0.1945883333	0.732079
AC187263.4_FG001	0	0	0	0
AC187279.3_FG003	0	0	0	0
AC187279.3_FG004	0	0	0	0
AC187283.3_FG005	0.3647266667	0	0.3826533333	0
AC187393.3_FG001	0	0	0	0
AC187404.3_FG003	0	0	0	0
AC187404.3_FG006	0	0	0	0
AC187460.4_FG002	0	0	0	0
AC187469.3_FG005	0	0	0	0
AC187485.3_FG001	0	0	0	0
AC187551.3_FG002	0.7238863333	0.8954743333	0.489512	0.6781136667
AC187560.5_FG003	0.200429	0	0	0
AC187567.4_FG004	0.863947	0.546396	0.4807436667	1.053294
AC187782.4_FG009	0	0	0	0
AC187789.3_FG001	0	0	0	0
AC187800.4_FG003	0	0	0	0
AC187802.3_FG008	0.0231785	0.0453039667	0.0690281	0.0248772
AC187809.3_FG005	0	0	0	0
AC187813.3_FG002	0	0	0	0
AC187818.3_FG004	0	0	0	0
AC187826.3_FG007	0	0	0	0
AC187843.3_FG001	0	0	0	0
AC187843.3_FG006	0	0.2771826667	1.1799783333	0.044846
AC187843.3_FG010	0	0	0	0
AC187870.3_FG002	0	0	0	0
AC187872.3_FG005	0	0	0	0
AC187879.3_FG001	0	0	0	0
AC187885.3_FG002	0	0	0	0
AC187887.3_FG008	0	0	0	0
AC187891.3_FG006	0.1438009	0.099479	0.0291808333	0.0553962333
AC187895.2_FG001	0	0	0	0
AC187895.2_FG002	0	0	0	0
AC187896.3_FG006	0	0	0	0
AC187899.3_FG002	0	0	0	0
AC187901.4_FG004	0	0	0	0
AC187903.3_FG004	0	0	0	0
AC187910.5_FG002	0	0	0	0
AC188000.3_FG003	0	0	0	0
AC188001.3_FG009	0	0	0	0
AC188003.3_FG012	25.4766333333	2.1362233333	3.0107963333	9.4170366667
AC188023.3_FG005	7.2683666667	8.5152466667	9.4582166667	6.3337966667
AC188023.3_FG011	0	0	0	0
AC188036.3_FG003	0	0	0	0
AC188128.3_FG002	0	0	0	0
AC188134.2_FG011	0	0.0309954	0.1380867667	0.0355393333
AC188195.2_FG003	0	0	0	0
AC188195.2_FG004	0	0	0	0
AC188195.2_FG005	0	0	0	0
AC188296.3_FG004	0	0	0	0
AC188582.3_FG002	0	0	0	0
AC188583.4_FG003	0	0.050033	0	0
AC188612.3_FG009	0	0	0	0
AC188710.4_FG006	0	0.00308584	0	0
AC188718.3_FG005	0	0	0	0
AC188718.3_FG011	0	0	0	0
AC188718.3_FG015	0	0	0	0
AC188721.3_FG001	0	0	0	0
AC188722.3_FG002	0	0	0	0
AC188723.3_FG001	0	0	0	0
AC188724.3_FG006	0	0	0	0
AC188727.3_FG003	0	0	0	0
AC188735.3_FG001	0	0	0	0
AC188744.3_FG009	0	0	0	0
AC188745.3_FG001	0	0	0	0
AC188752.3_FG008	0.0114691333	0	0	0
AC188753.3_FG004	0	0	0	0
AC188755.3_FG001	0	0.0236188	0	0
AC188756.2_FG004	0	0	0	0
AC188757.4_FG004	0	0	0.0295454	0
AC188831.3_FG005	0.2009703333	0.2133176667	0.2888453333	0.1842993333
AC188838.3_FG005	1.8414933333	1.7321556667	2.3365566667	0.8804533333
AC188964.3_FG002	0	0	0	0
AC188978.3_FG008	0	0	0	0
AC189048.2_FG001	0	0	0	0
AC189052.3_FG003	0	0	0	0
AC189056.3_FG001	0	0	0	0
AC189060.4_FG007	0	0	0	0
AC189078.3_FG004	0	0	0	0
AC189084.3_FG002	0	0	0	0
AC189280.3_FG001	0	0	0	0
AC189694.3_FG003	0	0	0	0
AC189750.4_FG004	11.87581	17.6571333333	12.8293666667	8.22815
AC189752.3_FG003	0	0	0	0
AC189753.3_FG002	0	0	0	0
AC189770.3_FG002	0	0	0	0
AC189771.3_FG001	0	0.2453576667	0.1217956667	0.0493986667
AC189792.3_FG005	0.0843607	0	0.0608278	0.0449406
AC189795.3_FG001	0.0382776667	0	0.033263	0
AC189796.3_FG004	0	0	0	0
AC189879.3_FG003	0.112389	0.0845430667	0.0875549333	0.0521167667
AC189883.3_FG002	0	0	0	0
AC190035.1_FG005	0	0	0	0
AC190225.2_FG001	0	0	0	0
AC190480.1_FG007	0	0	0	0
AC190485.1_FG004	0	0	0	0
AC190491.1_FG002	0	0	0	0
AC190496.1_FG002	0	0.0243549	0.0305977	0
AC190498.1_FG007	0	0	0	0
AC190507.1_FG007	0	0	0	0
AC190526.3_FG004	0	0.1192863333	0	0
AC190544.2_FG004	0	0	0	0
AC190549.3_FG004	0	0	0	0
AC190560.2_FG002	0	0	0	0
AC190565.2_FG003	0	0	0	0
AC190570.3_FG003	0	0	0	0
AC190572.4_FG001	0	0	0	0
AC190576.2_FG002	0	0	0	0
AC190587.3_FG005	0	0	0	0
AC190589.2_FG002	0	0	0	0
AC190590.3_FG001	0.0358693333	0	0	0.0296968333
AC190609.3_FG001	0	0.0610142333	0	0
AC190609.3_FG002	249.2196666667	177.3296666667	379.0143333333	121.6562
AC190609.3_FG003	13.6045333333	11.83855	16.1916	5.66222
AC190609.3_FG004	1.1315766667	1.7761366667	1.7146766667	1.1533366667
AC190609.3_FG005	0	0	0	0
AC190613.3_FG001	0	0	0	0
AC190614.3_FG004	0	0	0	0
AC190623.3_FG001	1.72271	0.6314586667	2.5991733333	1.0234823333
AC190623.3_FG002	0.0222205667	0.0117300333	0	0.0061425
AC190628.4_FG007	9.54418	9.8207066667	12.4199	7.7529866667
AC190630.2_FG001	0	0	0	0
AC190632.2_FG004	0	0	0	0
AC190634.1_FG005	0	0	0	0
AC190636.3_FG005	0.5644143333	0.4432563333	0.3162253333	0.59411
AC190638.3_FG001	0	0	0	0
AC190643.4_FG011	0	0	0	0
AC190652.3_FG001	0	0	0	0.0329626667
AC190665.3_FG006	0	0	0	0
AC190671.4_FG003	0	0	0	0
AC190677.3_FG003	0	0	0	0
AC190685.3_FG005	0	0	0	0
AC190688.3_FG006	0	0	0	0
AC190693.1_FG009	0	0	0	0
AC190695.3_FG003	0	0	0	0
AC190701.3_FG001	0	0	0	0
AC190716.3_FG001	0	0	0	0
AC190734.2_FG003	0	0	0	0
AC190740.2_FG004	0	0	0	0
AC190743.3_FG012	25.1406333333	8.11886	20.4119	10.6135
AC190744.2_FG010	0	0	0	0
AC190749.3_FG006	0	0	0.0717213333	0
AC190750.2_FG014	0.398965	0.3493313333	0.4298236667	0.4094843333
AC190751.4_FG008	0	0	0	0
AC190756.4_FG007	0	0	0	0
AC190757.3_FG001	0	0	0	0
AC190763.3_FG002	0	0	0.0919576667	0
AC190771.2_FG003	0	0	0	0
AC190772.4_FG011	0	0.1051006667	0	0
AC190788.2_FG004	0	0	0	0
AC190788.2_FG005	0.7443903333	1.3369436667	0.5570306667	0.7604273333
AC190789.3_FG005	0	0	0	0
AC190792.2_FG006	0	0	0	0
AC190799.2_FG010	0	0	0	0
AC190807.2_FG001	0	0.0673666667	0	0
AC190809.2_FG002	0	0	0	0
AC190811.1_FG003	0	0	0	0
AC190812.3_FG006	0	0	0	0
AC190816.3_FG007	0	0	0	0
AC190832.2_FG003	0	0	0	0
AC190832.2_FG006	0	0	0	0
AC190834.3_FG005	0	0	0	0
AC190841.2_FG007	0	0	0	0
AC190851.3_FG003	0	0	0	0
AC190858.3_FG004	0	0	0	0
AC190858.3_FG005	0	0	0	0
AC190883.2_FG005	0	0	0	0
AC190885.4_FG006	0.0375886667	0	0	0.040309
AC190909.3_FG004	15.4430333333	20.4797666667	11.4975666667	18.9256333333
AC190913.3_FG002	0	0	0.0221143667	0
AC190915.3_FG007	0	0	0	0
AC190922.3_FG007	0.2718946667	0.3266416667	0.218547	0.466498
AC190925.2_FG002	0.1269406667	0	0	0.157224
AC190932.3_FG008	0	0	0	0
AC190933.3_FG004	13.5551	3.7439733333	14.7066	4.8109866667
AC190934.3_FG003	0.038357	0	0	0.042523
AC190978.3_FG007	0	0	0	0
AC190985.3_FG006	0.0660375	0	0.0234333	0.0253157
AC190990.2_FG005	0	0	0	0
AC190999.2_FG004	1.9586733333	1.34359	1.9459266667	1.0816033333
AC191009.3_FG004	3.1202233333	1.4777033333	2.2088896667	2.3634666667
AC191012.2_FG001	0.1702533333	0.2450136667	0.518083	0.3023116667
AC191040.2_FG002	0	0	0	0
AC191042.4_FG001	0.0067262667	0	0	0
AC191048.2_FG006	1.55653	0.6435326667	0.891719	0.9188036667
AC191049.3_FG007	0	0	0	0
AC191050.3_FG003	2.6573633333	0.0356281	5.19853	0.5290693333
AC191064.3_FG007	0	0	0	0
AC191067.3_FG005	0	0	0	0
AC191069.3_FG004	12.2473966667	14.6224666667	18.0085666667	9.6058566667
AC191069.3_FG007	0	0	0	0
AC191070.3_FG006	0	0	0	0
AC191071.3_FG001	0	0	0	0
AC191073.2_FG001	0	0	0	0
AC191073.2_FG003	0	0	0	0
AC191097.3_FG007	0.390315	0.098912	0.2205886667	0.2130056667
AC191098.3_FG002	0	0	0	0
AC191107.4_FG001	0	0	0	0
AC191107.4_FG002	0	0	0	0
AC191113.2_FG002	8.10864	5.5314433333	10.3787666667	6.0510833333
AC191115.3_FG002	0	0	0	0
AC191147.3_FG002	0.0717783333	0	0	0
AC191246.3_FG004	0	0	0	0
AC191246.3_FG006	0.3767516667	0.296874	0.619698	0.3248196667
AC191251.3_FG005	3.3687466667	2.66647	3.1289733333	1.27026
AC191253.3_FG004	0	0	0	0
AC191254.3_FG001	0.162602	0	0.0386303333	0.0340403333
AC191264.3_FG002	0.2315956667	0.041936	0.1880713333	0.3667163333
AC191264.3_FG003	0	0	0	0
AC191279.2_FG001	0	0	0	0
AC191279.2_FG003	0	0	0	0
AC191283.3_FG004	0.1498953333	0.272416	0.1652179667	0.0184389667
AC191297.3_FG004	0	0	0	0
AC191305.3_FG002	0	0	0	0
AC191317.3_FG009	0	0	0	0
AC191328.3_FG002	0	0	0	0
AC191330.3_FG001	0	0	0	0
AC191338.3_FG002	0	0	0	0
AC191360.3_FG004	0	0	0	0
AC191360.3_FG015	0	0	0	0
AC191361.4_FG006	0	0	0	0
AC191362.3_FG002	0	0	0	0
AC191380.3_FG001	0	0	0	0
AC191401.3_FG009	0	0	0	0
AC191401.3_FG013	0	0	0	0
AC191410.4_FG004	0	0	0	0
AC191412.3_FG005	0	0	0	0
AC191418.3_FG003	0	0	0	0
AC191421.3_FG001	0	0	0	0
AC191523.3_FG001	0	0	0	0
AC191526.3_FG001	0	0	0	0
AC191526.3_FG004	0	0	0	0
AC191534.3_FG003	24.4890333333	27.1361666667	23.8285	23.7809333333
AC191539.4_FG001	0.040061	0	0	0
AC191541.4_FG005	0	0	0	0
AC191548.3_FG005	0	0	0	0
AC191551.3_FG003	0	0	0	0
AC191562.3_FG008	0	0	0	0
AC191564.3_FG003	0	0	0	0
AC191568.3_FG010	0	0	0	0
AC191575.2_FG001	0	0	0	0
AC191577.3_FG004	0	0	0	0
AC191578.3_FG003	0	0	0	0
AC191589.3_FG003	0	0	0	0
AC191598.3_FG007	0	0	0	0
AC191601.1_FG003	0	0	0	0
AC191622.3_FG003	0	0	0	0
AC191622.3_FG005	0.0493383333	0.055299	0.056247	0
AC191650.3_FG003	0.0322223667	0	0	0
AC191654.3_FG004	0	0	0	0
AC191676.3_FG011	0.2397753333	0.8887286667	0.2064515	0.1095850667
AC191686.3_FG002	0	0	0	0
AC191691.3_FG011	0	0	0	0
AC191692.3_FG001	0	0	0	0
AC191704.3_FG007	0	0	0	0
AC191708.3_FG001	0	0	0	0
AC191708.3_FG002	0	0	0	0
AC191731.3_FG001	0	0	0	0
AC191735.3_FG009	0	0	0	0
AC191748.3_FG001	0	0	0	0
AC191771.3_FG008	33.7788	23.1722666667	29.0534	19.4381
AC191778.3_FG001	0	0	0	0
AC191782.3_FG001	0	0	0	0
AC191790.3_FG005	0	0	0	0.0439166667
AC191804.4_FG002	0	0	0	0.0166715
AC191927.2_FG002	0	0	0	0
AC191961.3_FG009	0.062751	0.0807071	0.1031728667	0.0275141667
AC192175.3_FG001	0	0	0	0
AC192177.3_FG008	0	0	0	0
AC192204.3_FG005	0.1433749667	0.0503526667	0.0291048333	0.125038
AC192240.3_FG005	0	0	0	0
AC192244.3_FG007	0.8568926667	6.3651933333	3.13479	0.9956746667
AC192330.1_FG004	0	0	0	0
AC192356.3_FG003	0	0	0	0
