Gene_ID	PhyB-mutant_58M_6DAP_Means	PhyB-mutant_58M_7DAP_Means	PhyB-mutant_58M_8DAP_Means	Wildtype_100M_6DAP_Means	Wildtype_100M_7DAP_Means	Wildtype_100M_8DAP_Means
Sobic.003G188100	0.019716832	0	0.0061806167	0	0.0056483306	0
Sobic.003G188200	0.0118801645	0	0	0	0	0.0171032042
Sobic.003G188300	8.4674298489	10.0219672152	10.9156084986	8.786223702	8.9536412836	9.595946648
Sobic.003G188400	12.7178795659	14.5428521419	16.9093427223	13.1933274117	15.0394233759	14.8226993589
Sobic.003G188500	66.2035411014	63.1290978297	58.0701664592	63.7123746632	67.3292556663	62.4445905417
Sobic.003G188600	3.6376263976	4.3102206557	4.5375921339	4.4281337389	4.5045226649	4.4068794233
Sobic.003G188700	0	0	0	0	0	0.0540337682
Sobic.003G188800	0.0468714291	0	0.0416625798	0	0.0533212508	0
Sobic.003G188900	8.5983359384	10.5296229825	11.3613120724	9.0699100719	9.2797207765	9.2700842455
Sobic.003G189000	105.9950665459	151.0361193091	148.6702387309	101.526720066	113.7267126757	110.1963262966
Sobic.003G189100	0	0	0	0	0	0
Sobic.003G189200	0	0	0	0.0239353662	0	0.017767285
Sobic.003G189300	1.5798529693	1.716719118	1.1997020961	1.4161169301	1.1929221844	1.5948885099
Sobic.003G189400	1.4547431408	1.2257917765	1.3133804583	0.6855371655	0.8147936457	1.1757446553
Sobic.003G189500	0	0	0.0085590827	0	0	0
Sobic.003G189600	21.7699325368	20.3920028336	20.6953431256	22.1312639161	21.864548639	22.319702287
Sobic.003G189700	33.6232415257	45.4166132111	45.5561065944	40.5342781645	55.5470797894	53.3644463208
Sobic.003G189800	16.6554579618	16.6641250479	17.8845150131	15.6050354195	16.7029113001	18.2475121419
Sobic.003G189900	12.2213661255	18.9973124132	17.8198177437	12.0568519314	15.458874349	15.1821764294
Sobic.003G190000	4.144569584	5.0609329375	5.4380493625	4.0207019244	4.3935891194	4.9007195739
Sobic.003G190100	0.6389076993	0.9066007552	0.9608585053	0.5315498251	0.609066137	0.8201777288
Sobic.003G190200	14.7835939705	18.5242210146	18.9932886086	15.4086420001	18.0985933573	18.1093421322
Sobic.003G190300	2.7614706606	4.0582315039	5.0251361771	2.2172387448	3.1427190505	3.3501483272
Sobic.003G190400	11.0333767995	8.7267669904	7.4779347722	15.0201305267	13.5689425401	12.7108985623
Sobic.003G190500	13.2593974919	18.4811023234	18.2271859497	14.6927264598	15.8535927679	14.5541849241
Sobic.003G190600	23.9185811157	23.4085111857	22.0247755059	22.6225389721	25.2859490708	25.8630471055
Sobic.003G190700	0	0	0	0	0	0
Sobic.003G190800	53.2786744102	61.4564504535	64.3914343358	47.9599588367	49.25611919	50.0490662641
Sobic.003G190900	5.458299117	6.2456700469	7.1495658655	6.1311825353	6.7923142958	7.4712170431
Sobic.003G191000	0.3396489958	0.3361722423	0.1223212665	1.1126538863	3.5816986163	1.223286094
Sobic.003G191100	0	0	0	0	0	0
Sobic.003G191200	0.0184551057	0.0539969135	0.0334593503	0.0400673839	0.0374812853	0.0113487005
Sobic.003G191300	0	0	0	0	0	0
