Gene_ID	Total.leaf_rpkm	Mesophyll.cells_rpkm	Bundle.sheath.cells_rpkm
Sobic.001G000100	0.0	0.0	0.0
Sobic.001G000200	6.414067398578037	4.777941803830793	5.007044435824031
Sobic.001G000300	1.5072037187461929	0.7836178094611732	0.6003899309005502
Sobic.001G000400	2.659987820197302	1.1194909715849146	2.333499757914991
Sobic.001G000501	1.962139155659703	2.124375165200549	0.7833835308133733
Sobic.001G000700	7.566877599514919	6.63365199150125	6.078410021403812
Sobic.001G000800	6.428115084013685	6.223060677259748	7.924119839344921
Sobic.001G000900	0.0	0.0	0.0
Sobic.001G001000	0.0	0.0	0.2927559877641083
Sobic.001G001066	0.0	0.0	0.0
Sobic.001G001132	0.0	0.0	1.0603666605507636
Sobic.001G001200	0.08717497823930702	0.0	0.09732754823569707
Sobic.001G001300	2.463519795534518	1.4628252017873866	1.1951379970554759
Sobic.001G001400	3.5754637809418908	1.567153830902918	2.9460624767815857
Sobic.001G001700	0.0	0.0	0.0
Sobic.001G001800	0.7937031547431976	0.0	0.7526507320100839
Sobic.001G001900	1.0927591675656902	0.5497510196523684	0.6299580926621735
Sobic.001G002000	5.499098920895169	3.5538089209904977	4.914347319824302
Sobic.001G002050	1.0632437140727413	0.7857407077973358	0.8293703720853098
Sobic.001G002100	0.0	0.0	0.0
Sobic.001G002200	0.0	0.0	0.0
Sobic.001G002300	0.0	0.10528504563028093	0.0
Sobic.001G002400	0.0	0.0	0.0
Sobic.001G002500	0.12826709514643347	0.0	0.09687220418449505
Sobic.001G002600	3.6192499342184385	0.7908840777114593	3.1062324176891325
Sobic.001G002650	0.0	0.0	0.0
Sobic.001G002700	0.0	0.0	0.0
Sobic.001G002800	0.23063262358130893	0.0	1.2554032973352947
Sobic.001G002900	0.0	0.0	0.0
Sobic.001G003000	3.36478923967839	7.768135323127997	3.418988948906821
Sobic.001G003100	6.272957845513627	6.964674418423203	5.001507991193802
Sobic.001G003200	7.906552308243703	7.1479312413037865	8.290832483486746
Sobic.001G003300	0.16073652515446876	0.25928887523694755	0.33811602487972003
Sobic.001G003400	0.0	0.0	0.0
Sobic.001G003500	2.6296966208669046	0.9211754459425446	2.7811184020217077
Sobic.001G003600	0.0	0.0	0.0
Sobic.001G003700	0.0	0.0	0.0
Sobic.001G003900	2.2564395621100184	1.8693685608854507	2.000606467563312
Sobic.001G004000	0.0	0.0	0.2695906165435666
Sobic.001G004100	3.315604213924568	1.104955600286349	3.423064524356068
Sobic.001G004200	5.009154870483619	0.7304265916804634	3.968242524475851
Sobic.001G004300	0.31128950266693495	0.0	0.5652852212264311
Sobic.001G004400	5.167864632173101	5.258169090051615	3.8146759041935687
Sobic.001G004500	0.15972550077598066	0.0	0.0
Sobic.001G004550	0.0	0.0	0.0
Sobic.001G004600	0.27032397363001526	0.17517351840053813	0.18718391603576892
Sobic.001G004700	2.371128372625268	1.182526038306165	2.0344825800793647
Sobic.001G004800	0.0	0.0	0.0
Sobic.001G004901	0.1216634812745158	0.0	1.1263326467205814
Sobic.001G005000	0.0	0.0	0.0
Sobic.001G005100	0.1518463291150297	0.3007334046701137	0.5824904429569642
Sobic.001G005200	8.811603827889487	4.543352466533289	10.419637801575236
Sobic.001G005300	0.5775663278504257	0.0	0.32722334838154477
Sobic.001G005400	0.0	0.0	0.0
Sobic.001G005500	2.6365747027680446	0.1631782129267815	0.4704274119649487
Sobic.001G005600	4.135863756758635	4.212786981935284	4.73994798846024
Sobic.001G005700	0.550027030519338	0.35264953203532157	0.8014668417847961
Sobic.001G005800	2.1151449344239	0.0	1.4223168639385442
Sobic.001G005900	7.194494826552756	4.55807495449025	5.374194873683881
Sobic.001G006000	2.674330226146243	0.15666973802704456	2.8264666353551493
Sobic.001G006101	0.05709104357013526	0.11675362677928071	0.23989931769993714
Sobic.001G006201	0.0	0.0	0.0
Sobic.001G006300	0.0	0.0	0.0
Sobic.001G006400	1.9398721156804857	1.0897098086404349	2.489594794074005
Sobic.001G006500	0.09936096427952165	0.29081319364785685	0.11087903497086184
Sobic.001G006600	0.13899218317830503	0.21212576747402556	0.19111463949524185
Sobic.001G006700	5.255892670295329	7.6017283285147474	5.284257261023182
Sobic.001G006800	0.8665082005531646	0.0	0.8638649693991157
Sobic.001G006900	0.0	0.0	0.0
Sobic.001G007000	5.7416323820493735	3.6775515605766578	5.1111277641816075
Sobic.001G007100	2.46250860445841	2.1304015038372155	2.4973922527796004
Sobic.001G007200	3.2464819344527207	2.3516660489230166	4.228736331025368
Sobic.001G007300	0.0	0.0	0.0
Sobic.001G007400	2.6003534077445107	2.670798046557894	2.79331770389373
Sobic.001G007500	0.8006477974646865	0.0	0.11519774755935715
Sobic.001G007600	6.859478401371934	7.640242698850814	5.309400769811509
Sobic.001G007700	0.0	0.0	0.0
Sobic.001G007800	4.077013769735851	1.3096109359887436	1.9409747617810647
Sobic.001G007900	2.7792797183827758	0.0	1.4606877901316189
Sobic.001G008000	0.5944186096152435	0.0	0.23361310991135165
Sobic.001G008100	4.977885044812139	1.6218778165553493	2.9658520578454612
Sobic.001G008200	2.323548930885548	1.704176121955573	2.3072793295496496
Sobic.001G008300	0.09083643459063524	0.0	0.19613991093735966
Sobic.001G008400	0.0	0.0	0.0
Sobic.001G008500	3.1197381302398752	0.38192241463508847	1.71222273003062
Sobic.001G008600	0.11292126197126733	0.0	0.165594949848399
Sobic.001G008700	2.435746964644059	0.0	1.573691473834415
Sobic.001G008800	0.6334140693161792	0.0	0.23445630372794699
Sobic.001G008900	0.0	0.0	0.0
