test_id	Wild-type plant  post-meiotic anther	hda108 mutant plant post-meiotic anther	Wild-type plant mitotic anther	hda108 mutant plant mitotic anther
AC148152.3_FG001	0.0	0.0	0.0	0.0
AC148152.3_FG005	0.06324130067788827	5.912968353047528	1.1613782163061703	5.583846986523823
AC148152.3_FG006	0.0	0.0	0.0	0.0
AC148152.3_FG008	4.548529102183391	2.6915966952376627	5.1720514087874445	3.5626942452433816
AC148167.6_FG001	6.832105177106058	5.313184165821692	8.10264238591576	6.34140051184131
AC149475.2_FG002	4.72714173352769	4.051554819919808	4.46531498257871	3.3546397495178137
AC149475.2_FG003	5.1257172181593615	5.49452761653403	4.355805638944072	4.74113256599005
AC149475.2_FG005	2.330893938185003	2.4939751819577345	1.9766679078078482	2.553267106084696
AC149475.2_FG007	3.133201820296419	3.7159812031883974	1.6075125996988	2.320135153999667
AC149810.2_FG003	0.0	0.0	0.0	0.01766383842610043
AC149810.2_FG004	0.0	0.0	0.0	0.0
AC149810.2_FG008	1.125961822858751	2.169232341571014	1.0138409733753386	2.152491723633085
AC149818.2_FG001	4.037795114599966	3.687878133247217	4.087420408419239	3.1046536823789137
AC149818.2_FG004	6.404751584897485	5.539016085829286	5.614768728425369	4.29702262751676
AC149818.2_FG005	7.074109343024844	5.385327490771411	6.7130496462742215	5.2107044584309845
AC149818.2_FG006	5.207502459258789	4.596326936127442	4.8731536986137645	4.798962930450763
AC149818.2_FG007	3.1116723677385	1.9584269707412476	1.7753413696046891	1.1661691095579774
AC149818.2_FG008	2.1701461977239673	2.312531584499464	1.7739119545131263	2.0144017155854517
AC149818.2_FG009	0.0	0.8628377775223908	0.0	0.4062710723221746
AC149828.2_FG002	4.209858822930194	4.279939241309166	3.6876878107322444	3.6405052486834415
AC149828.2_FG004	0.29968543022547317	0.0	0.0	0.0
AC149828.2_FG005	0.0	0.3679625611808959	0.6535975444865791	0.9932468332125953
AC149829.2_FG002	3.2241375416876275	5.074933523082563	3.3900430427748582	2.9639586401705835
AC149829.2_FG003	1.4224052524939967	1.493124672215516	0.7246476526170508	1.592110150750013
AC149829.2_FG004	0.5587995450929043	0.4453612166846256	0.0	0.0
AC149829.2_FG006	5.50399106216937	5.3915477801673415	5.83514846773508	5.34881312027132
AC150739.3_FG001	1.1126067298157205	1.452890585080513	0.5889407724845463	1.393926847198346
AC152495.1_FG002	1.1964244925972685	1.4368760790977548	0.8584250778531399	1.4606272484058633
AC152495.1_FG003	0.5595759985509796	0.5705241349719437	0.44199863582482224	0.6643535836623677
AC152495.1_FG010	1.2593327550232702	0.7427280247353818	0.7118199719922464	1.069901477093386
AC152495.1_FG011	0.4695692777673412	0.8430785602911682	0.3400779663117342	0.5389036331867665
AC152495.1_FG012	1.3751951644781837	1.4973517756499504	1.3807959306141515	1.1187650324303744
AC152495.1_FG013	0.0	0.0	0.0	0.0
AC152495.1_FG015	0.0	0.0	0.0	0.0
AC152495.1_FG017	2.0899048684213355	1.62334249062899	1.9030999883666866	1.5908510894664063
