locusName	total.leaf_rpkm	Mesophyll.cells_rpkm	Bundle.sheath.cells_rpkm
Sobic.004G271300	0.26039120242497216	0.5622795238149241	0.09517213532784163
Sobic.004G271350	0.4098774245626684	1.8371262107266768	0.243758042793483
Sobic.004G271400	2.3027361171561576	0.0	1.374707762202428
Sobic.004G271500	0.3770008623805806	2.0016987160945368	0.08520393966267492
Sobic.004G271600	6.3452940350177105	6.3837126082479685	7.120825637809243
Sobic.004G271700	5.970939943417089	10.117464893522222	5.225666691712779
Sobic.004G271800	0.0	0.0	0.0
Sobic.004G271900	7.981941905300148	6.539406369677036	7.172443373703091
Sobic.004G272000	0.0	0.0	0.44422325060534895
Sobic.004G272100	9.39040843874969	6.552498791970552	12.095054837657337
Sobic.004G272200	3.927763472256017	1.664541698391058	3.0352884817939048
Sobic.004G272300	5.5214386349337365	0.22839603020308422	5.240871545874717
Sobic.004G272400	1.8981756100232379	2.642090099262727	0.8745437712560461
Sobic.004G272500	0.0	0.0	0.0
Sobic.004G272600	0.42701922941812637	0.7478832947094746	0.7165352783991233
Sobic.004G272700	0.08900699093447975	0.3400236937664454	0.0
Sobic.004G272800	8.284931693622912	9.452230018464634	7.771003993245364
Sobic.004G272900	3.7885408993557848	1.0555834315970303	3.2513841576356612
Sobic.004G272950	0.25524053391076085	0.41876542663825106	1.290203816271174
Sobic.004G273000	0.06099585589317001	0.5369495062745482	0.13326585402717023
Sobic.004G273100	1.3510679017072236	5.066003112397218	2.2805199082799312
Sobic.004G273200	0.0	1.007778195188585	0.0
Sobic.004G273300	5.820621101370602	12.805544769923236	5.6710168974814135
Sobic.004G273400	0.4083583405892977	3.6307301426831016	1.6216573722601701
Sobic.004G273500	2.5477995058142104	3.0026375029582724	1.837011158006685
Sobic.004G273550	1.320253989534399	2.4137710749074377	1.023079718243372
Sobic.004G273600	1.9568667870835663	1.191539094911488	2.8821537773715145
Sobic.004G273800	0.0	0.0	0.30604192634921007
Sobic.004G273900	0.0	0.0	0.0
Sobic.004G274000	0.0	0.0	0.0
Sobic.004G274100	6.2168761830995	5.909328147208154	6.990677269147861
Sobic.004G274200	2.6987239184645153	1.373549498943955	2.1881117824562746
Sobic.004G274300	0.0	0.0	0.0
Sobic.004G274400	4.155628067593428	2.679070304208022	3.149070933839874
Sobic.004G274500	0.0	0.0	0.0
Sobic.004G274600	0.023066286882757612	0.0	0.0
Sobic.004G274700	3.6511026189940425	4.368147001715917	5.218422613126694
Sobic.004G274800	0.9513237626848229	0.06702221023147033	2.758361379086233
Sobic.004G274900	1.2660156307332513	8.676196936001325	0.7293267287110324
Sobic.004G275000	6.818634358960578	5.3624146598961575	7.03212197858274
Sobic.004G275100	0.0	0.0	0.0
Sobic.004G275200	1.7957912726955225	1.902693033546122	1.304327223742793
Sobic.004G275400	0.16391406819021168	0.0	0.2657021931149081
Sobic.004G275500	0.0	0.0	0.0
Sobic.004G275600	5.121782201818499	2.1621742472993852	4.495781754341935
Sobic.004G275700	5.790053850188501	3.852412545524291	4.89246442273526
Sobic.004G275800	0.0	0.0	0.0
Sobic.004G275900	1.350869062017834	0.1724667787000847	1.9235274741744257
Sobic.004G276000	0.0	0.0	0.0
Sobic.004G276100	5.091371502002518	5.204391966635406	4.563338747688763
Sobic.004G276133	0.0	0.0	0.0
Sobic.004G276166	0.1994450407891426	0.33566686255053774	0.20581112910807708
Sobic.004G276200	0.1377438016490208	0.0	0.052995088796073314
Sobic.004G276300	0.0	0.0	0.0
Sobic.004G276400	3.9063813142088457	2.8701724782413107	4.054404331129945
Sobic.004G276500	0.3801908116239994	0.0	0.591432572429322
Sobic.004G276600	0.29956784507766654	0.13274960961462198	0.14199257094054185
Sobic.004G276700	0.0	0.0	0.0
Sobic.004G276800	0.0	0.0	0.0
Sobic.004G276900	3.0814131367209057	2.29184270351328	3.1921028325354865
Sobic.004G277000	3.180346567892048	5.368861321714665	2.7440417685587892
Sobic.004G277100	0.0	0.0	0.0
Sobic.004G277200	5.38811231025547	2.275866015894516	3.389026893081214
Sobic.004G277300	0.04047632474204232	0.0	0.0
Sobic.004G277400	2.5711350632786205	0.0	1.0256654765879984
Sobic.004G277501	0.0	0.0	0.0
Sobic.004G277600	0.0	0.0	0.0
Sobic.004G277700	0.0	0.0	0.0
Sobic.004G277800	0.5605523257016934	2.3121413880278827	0.38295801985969763
Sobic.004G277900	0.0	0.44134585074740934	0.0
Sobic.004G278000	0.0	0.0	0.0
Sobic.004G278100	0.09363979937365377	0.18907503552421834	0.20197358463150017
Sobic.004G278200	0.20587004358613062	1.1897729833100303	0.22879393409823504
Sobic.004G278300	0.0	0.0	0.0
Sobic.004G278400	0.3198087989137102	0.0	0.3539487397590275
Sobic.004G278500	3.484400659761575	0.37981510402998925	1.0547212579753653
Sobic.004G278600	1.6196048718194502	1.2608325564010086	1.0348508495067594
Sobic.004G278650	0.0	0.0	0.0
Sobic.004G278700	0.2779474699580172	0.0	0.3471741730896043
Sobic.004G278800	0.0	0.0	0.0
Sobic.004G278900	0.7565045539211931	0.0	0.7831864241114467
Sobic.004G279000	0.0	0.0	0.0
Sobic.004G279100	2.976426182997833	4.669505221416531	2.6826123972241227
Sobic.004G279150	0.9451624214782953	0.5497030006045417	0.2214412514579205
Sobic.004G279200	0.22294127681057946	1.1514450811608132	0.7271192696295508
Sobic.004G279300	0.089793264330189	0.0936274566440349	0.36491752625346624
Sobic.004G279400	0.5078346825158179	0.21436063313641024	0.11895877786660448
Sobic.004G279500	2.9913433915418173	3.022961469523599	2.060653758296164
Sobic.004G279601	0.11717440309136823	3.244982571504495	0.0
Sobic.004G279700	0.0	0.2003307914764373	0.8474072006684897
Sobic.004G279800	1.855435085698255	3.0241983623443915	0.7787197920778163
Sobic.004G279900	0.0	0.23862133140113972	0.0
Sobic.004G280000	0.0	0.0	0.0
Sobic.004G280100	1.0762345671726423	0.0	0.9374831539055992
Sobic.004G280200	1.4041052006818904	1.402943013418024	1.7682129513744163
Sobic.004G280301	0.0	0.0	0.0
Sobic.004G280401	0.0	0.0	0.0
Sobic.004G280500	0.06335247310173983	0.0	0.1382840925472636
Sobic.004G280600	0.10522444391016603	0.5597277781901308	0.2259519774600088
Sobic.004G280700	4.60455869726278	2.237404126494821	2.8033706394512286
Sobic.004G280800	1.2647960633184523	3.1972462338539995	0.8028834720652882
