Gene_ID	Leaf.base	Minus.1cm	Plus.4cm	Leaf.tip
GRMZM2G181227	2.141578056008632	2.0580997875597347	1.1940296931288716	0.05286201999627317
GRMZM2G146885	3.923422225324936	3.6273385022468103	1.9178192133450798	1.6901124984994529
GRMZM2G139463	2.975768176781738	2.6721822259028944	1.256312620809384	1.0445657244597326
GRMZM2G015295	10.399220607622887	8.808846853791058	4.92772007727065	4.919548676487313
GRMZM2G111909	5.613503093697209	4.834189013935686	1.4095569936112449	0.9633445589635202
GRMZM2G078097	2.4419156544593354	0.9474737903675209	0.08858838177172006	0.04859325034304495
GRMZM2G450498	5.215655722566604	3.3857562847719196	0.7656239165876769	0.25672059407303044
GRMZM2G413652	4.7043106125915575	4.080096896821413	2.6717805030684056	2.2075539811759914
GRMZM2G090087	4.460016427025965	4.249686841068061	4.209087721658125	3.5537317652034455
AC217811.3_FG003	4.187558058915097	3.4243317137409477	3.1519084797724575	2.511352381961105
GRMZM2G043887	2.7351399528526508	1.9465957004163144	0.2343193284019655	0.16070973291937948
GRMZM2G147256	4.096017405868544	2.547962443154912	2.1158393460195577	1.3860646771307712
GRMZM2G035552	2.336159437037905	1.650308369773201	0.7340438014269457	0.3277594362012646
GRMZM2G090842	2.286818178983777	1.3303525520577484	0.5441916083834956	0.4694644696301766
GRMZM2G359822	3.551605596057828	3.097377993605998	1.7242065330856107	0.6870880616504579
GRMZM2G365160	7.195465513348008	6.665615251334655	4.538409026090904	2.8291417347797
GRMZM2G058659	6.123023866321581	5.651592658091288	2.514274645167789	2.439853980610823
GRMZM2G036861	7.026843889390672	4.109158948328456	3.2671640707419014	2.265465217663124
GRMZM2G314652	4.533986681586344	3.684100716034243	1.2222612494562308	0.7568157635049234
GRMZM2G028369	5.794536861019115	5.718085504055396	4.304964212696802	3.863302980689335
GRMZM2G115841	4.706668411458583	3.399176856246829	2.9731732130493955	1.478796398364754
GRMZM2G129642	3.8454008901375736	1.1777586010655507	0.6693503592860006	0.40344344334768123
GRMZM2G106950	4.134751669280228	1.7057548506416242	0.5631991687564301	0.5121899277592556
GRMZM2G145870	5.493665283979243	4.388980800264581	3.286950904398002	3.1639038926774243
GRMZM2G122198	2.9199006160797696	0.7129608850911879	0.3306822542423808	0.05908312394220179
GRMZM2G046191	4.638140335777972	4.1174724324438765	3.8118368532517333	3.3327653947175704
GRMZM2G085117	2.890222680102899	1.4578051200409106	1.9567139826469977	1.170526181201167
GRMZM2G365961	4.939938154966523	4.281577189183454	2.07698970201102	1.360525173442117
GRMZM2G149751	9.504292265107377	8.130399414273977	3.998368182873316	3.9330660916278544
GRMZM2G165747	5.840214743876765	5.298412718715419	2.591827274112516	2.3659709521535883
GRMZM2G453616	5.753443505231113	5.2113091987857665	2.51850279153356	2.295179253467932
AC199526.5_FG002	9.28852133934656	8.512386471479797	6.461006411172219	6.233853764514831
GRMZM2G054123	8.882500734537121	8.03791794545905	5.719460582197181	5.247732767601367
GRMZM2G024686	3.8160510934740266	3.325516076374939	3.7060555641224195	2.620672928507748
GRMZM2G136712	4.204230619427763	3.0659826965122816	1.4870567203629725	0.8345069946831645
GRMZM2G076885	4.950183357602333	4.623820187666233	2.087154996691859	1.9634240741661575
GRMZM2G048497	4.973421968837544	4.362205293715166	3.3717649015495224	3.2150444197942463
GRMZM2G007647	4.829478339729853	4.424915412708274	1.9656936198099304	1.377860658924486
GRMZM2G055899	4.575387969738095	3.5770556864597487	3.852334008967502	3.4662063320068857
GRMZM2G004382	7.585512722327803	5.989862932793248	4.866035552355567	4.7454374418925696
GRMZM2G569855	3.4413038124930675	2.8913796904871476	2.430822880228878	2.242837419744182
GRMZM2G130062	4.1041449229685885	3.9870426181798844	3.9094382736513644	2.79872635314013
GRMZM2G053999	5.348105053351897	5.337386933795183	4.284483167677853	3.7614858589274154
GRMZM2G124963	8.017352685362686	7.848901679736144	4.4209690749712625	1.17337615569642
GRMZM2G046748	5.183790396842619	4.849101984855267	2.5655793691833133	2.1099881677361645
GRMZM2G050371	3.5834869453795175	3.4457492578622566	2.544967592361307	2.4192062599187087
GRMZM2G068862	5.327424389280704	5.2657751290764825	4.693056731597618	4.648576427910812
GRMZM2G036543	4.037493589017157	3.7138209302243315	1.9229254352637886	1.8584335709957716
GRMZM2G052266	3.8624909064446027	1.6127718720626605	1.8930954444098231	0.5035356780124185
GRMZM2G009323	4.410672842229758	3.9524942976882502	2.2149820173661463	2.2081028877530455
GRMZM2G081886	5.280099478182127	3.628843843526173	1.2943380585342408	1.256338679558765
AC194970.5_FG003	3.971797301577069	3.8704466761442045	2.6863472285167553	2.62499148703196
GRMZM2G015588	4.583299120474565	3.59544240791838	2.544615430405575	2.5412925702372915
GRMZM2G095806	3.9997513039266015	3.5465457638783304	3.1730510530720673	2.2529791701447373
GRMZM2G049811	4.463596960339554	4.111909878202087	3.3968181131716064	3.3676972463059203
GRMZM2G078143	7.778276548787963	7.486120205568155	4.952916922564017	4.4749106001805625
GRMZM2G372074	10.078646341085586	9.093525161259631	3.249956911198006	1.317690548864718
AC209784.3_FG011	1.736405978354654	0.6216643853359843	0.36451823636866865	0.2670326265421811
AC213621.5_FG004	5.188696015449354	1.5961361827458123	0.4183352563219529	0.34815857017594065
AC234156.1_FG005	7.539662610747411	4.666297548722683	2.173982994119744	1.221109501706129
GRMZM2G001514	8.22282040321323	7.998315106236168	5.032058793637584	3.566925064924193
GRMZM2G002420	6.282645465392748	0.5330848293286119	0.5699255363427723	0.3627431885563163
GRMZM2G021794	7.954071182579464	7.333333845155799	3.964429699257407	2.8723161420502468
