Gene_ID	Bundle.Sheath.Cells	Mesophyll.cells
GRMZM2G448446	6.043222530781922	3.621395729628907
GRMZM2G082032	8.718250406901744	7.955674548706726
GRMZM2G034503	4.754216990262132	3.7870672376552053
GRMZM2G019437	4.742294036954224	2.6245056894667735
GRMZM2G019926	5.00099425283647	3.702465097863627
GRMZM2G052630	4.906217504215234	3.0269866039487345
GRMZM2G702490	4.87561695982814	4.011297878416941
GRMZM2G088689	6.812853575855054	4.3394365399062025
GRMZM2G053720	7.684668333840316	6.607971730690574
GRMZM2G090087	4.568626073815748	3.0854271277326593
GRMZM2G029262	7.093153509759437	5.928634641857533
GRMZM2G039891	5.33641024325437	3.9721885776972945
GRMZM2G076673	9.523084376892617	6.992347039110433
GRMZM2G104310	8.363359377365637	6.026186664406387
GRMZM2G070218	8.137846606610301	7.750543909548091
GRMZM2G400173	5.202987805423604	3.4833256323325434
GRMZM2G168791	5.963530908818459	4.12607683578398
GRMZM2G169593	7.109381147433964	6.73934973522402
GRMZM2G054465	5.481641731269977	2.909691061222805
AC215264.2_FG005	4.009331010364988	1.7317413121579404
GRMZM2G044247	4.339847591287827	2.5709703587964814
GRMZM2G113873	7.613744447310662	6.56662311857398
GRMZM2G117198	6.062209730716816	4.723657360638433
GRMZM2G077215	4.967245976021586	3.977407117374192
GRMZM2G161868	7.139996408814049	5.63218718873073
GRMZM2G101979	9.319492467643322	7.965972651349526
GRMZM2G053999	5.070985388097357	4.060686461784612
GRMZM2G048740	6.013438288253365	5.1895553198836835
GRMZM2G165383	4.70250771027352	3.302619875419464
GRMZM2G181192	8.471833539478194	8.17493326680495
GRMZM2G067028	7.270252368667359	4.372843354734286
GRMZM2G049811	3.910365152641856	2.514178976859304
GRMZM2G135283	9.33656875451584	6.5007487460820625
GRMZM2G039238	7.569725310106692	6.929926301233905
GRMZM2G062420	6.925220953293447	6.465731759464402
GRMZM2G393334	6.934448963104115	5.479140152979447
GRMZM2G008773	4.160334502494348	0.924906918953053
GRMZM2G005562	6.014127084820621	5.18124269835774
GRMZM2G095968	4.937344956242	2.8659053996622395
GRMZM2G019411	4.2640431515008235	1.3631615733028128
GRMZM2G110558	4.623822793066066	3.5354981737743545
GRMZM2G149265	6.748745112332078	5.8585089927438405
GRMZM2G160563	5.007650197060938	2.6591231662182038
GRMZM2G326111	11.954765429194248	9.54253945268639
GRMZM2G087570	7.8952464890185015	7.478899542894447
GRMZM2G096585	7.85336701557135	7.43118712044847
GRMZM2G372077	7.605541099904904	7.185802740145463
GRMZM2G117746	4.8710616314758575	3.4510917731776822
GRMZM2G095562	7.7112607209306505	6.8516458922629795
GRMZM2G134313	6.21860109351867	5.526001419691773
GRMZM2G003043	5.382448632883981	4.128343559430391
GRMZM2G037140	9.155247493021927	6.986395510226917
GRMZM2G471926	9.14575574296396	8.790488141918791
GRMZM2G436981	8.415125731486103	6.922820966521373
GRMZM2G346133	6.688920225216899	4.737897087278196
GRMZM2G010937	6.6620998016098	5.230414811367629
GRMZM2G177867	6.445322784265269	5.941710064639056
GRMZM2G037472	6.18913779255893	4.590992660527893
GRMZM2G126010	6.033145153645261	2.909691061222805
GRMZM2G350802	5.88587765551017	4.884320852622312
GRMZM2G147775	4.873796554143304	3.4589724291184707
GRMZM2G181522	4.848817074557805	3.2399674922911297
GRMZM2G172834	4.734290305137386	2.2687000956277297
GRMZM2G082484	4.369604997990103	1.874382417523072
GRMZM2G382341	4.271436678849273	3.0136719474112383
GRMZM2G181390	4.009331010364988	2.2231528689635516
GRMZM2G114841	3.7434597989465264	1.4045561356912701
GRMZM2G479245	2.834476972135027	0.8469718693850445
GRMZM2G177914	5.062246790620101	3.3702583374096338
GRMZM2G051129	6.270256878198088	4.7993221461457045
GRMZM2G178826	4.97405908355779	3.7393322677806737
GRMZM2G336908	5.845270413839166	3.6474920885972675
GRMZM2G143480	6.079687402118601	5.159644824725878
GRMZM2G027663	9.075031716896373	7.2159080928920725
GRMZM2G120652	10.046074692746751	9.175552147734669
GRMZM2G099003	9.245454128627271	3.9003657270851697
GRMZM2G045664	6.5848299337780345	4.500825122159046
