Gene_ID	10-oxo-11-phytoenoic.acid_Leaf	cis-12-oxo-phytodienoic.acid_Leaf	Dimeythl.sulfoxide_Leaf
GRMZM5G830250	0.788643326909443	0.8996472334451573	0.449146399805442
GRMZM5G830269	9.406368599974252e-07	2.987457662661996e-06	0.08122690056640013
GRMZM5G830293	0.0	0.0	0.459169286598955
GRMZM5G830319	0.0	0.0	0.0
GRMZM5G830329	0.9729300818537735	0.84482008346212	1.6599816259066236
GRMZM5G830365	0.0	0.0	0.0
GRMZM5G830401	0.0	0.0	1.3489192327424252e-06
GRMZM5G830403	4.023287071722645	2.9979711366977355	4.496272189179267
GRMZM5G830436	0.14012386388984574	0.07172332409506954	0.1905588579043315
GRMZM5G830457	0.0	0.37443682493815295	8.115157321344388e-07
GRMZM5G830545	0.40204923513371593	0.08467594232451876	0.293337613810235
GRMZM5G830549	0.0	0.03374316941952967	0.11330610417197438
GRMZM5G830585	0.0	0.0	0.0
GRMZM5G830596	1.6763486591403733	0.811787484476038	1.0922412720118166
GRMZM5G830632	3.172796711319444	3.7135443349079584	4.568793697786899
GRMZM5G830671	0.09818607453944324	0.0	0.0
GRMZM5G830681	0.0	0.0	0.0
GRMZM5G830695	6.296654250230884	6.560083637283382	6.165443690330619
GRMZM5G830747	2.5260281100614823	2.844677898711694	2.465002112959759
GRMZM5G830776	1.4583557540074321	1.352597526203748	1.6040688321703396
GRMZM5G830839	0.0	0.0	0.0
GRMZM5G830874	6.364394272970064	6.279318530518708	6.176128259021493
GRMZM5G830881	0.0	0.0	0.0
GRMZM5G830888	0.0	0.0	0.0
GRMZM5G830932	4.7344915061786965	4.032360963381256	5.71495363841887
GRMZM5G830949	0.0	1.67351654103808e-05	0.0
GRMZM5G830983	1.4238174798535377	1.922792504453955	1.444708142254841
GRMZM5G831009	0.045353149015110145	0.06173369360967522	0.0
GRMZM5G831025	1.0621420946678843	0.5882814472714122	1.4195050484574685
GRMZM5G831092	0.0	0.0	0.0
GRMZM5G831102	0.31818203886911506	0.12684073527769343	3.5309917915297265e-06
GRMZM5G831135	1.2577649685713879	1.0445249177793885	0.9734094126580883
GRMZM5G831142	3.9748527813087313	4.168912756140262	3.566294289698409
GRMZM5G831200	0.12603883170035646	0.1912717452499849	0.12472945282252852
GRMZM5G831224	1.9032822346748755	3.487964767300025	0.026049485692534482
GRMZM5G831305	0.15994390957572144	0.0476525016373715	0.2122664500405908
GRMZM5G831308	0.0	0.0	0.0
GRMZM5G831313	2.270884713452961	2.445034054076247	2.7302959503262154
GRMZM5G831399	1.1012525406938172	3.008454170152666	1.351057243519497
GRMZM5G831408	3.9772249626419547	4.718265717297226	2.2716945875532497
GRMZM5G831452	0.0	0.0	0.0
GRMZM5G831474	0.04020720692236365	6.606742796104955e-05	0.0
GRMZM5G831481	0.38704870950322906	0.09386436750617722	0.4255667240752511
GRMZM5G831486	0.5025098453122605	0.811148545983154	0.2605996079046706
GRMZM5G831519	3.749991406211026	3.815444781173205	2.9021966132735586
GRMZM5G831540	1.1007762755863635e-07	0.02828624307910998	0.006176249051296664
GRMZM5G831550	0.0	0.0	0.0
GRMZM5G831577	0.5479433112903502	0.25459404303314104	0.5106518330739245
GRMZM5G831584	4.257917676508854	4.993111619059144	3.8087737330382705
GRMZM5G831658	0.0	0.0	0.0
GRMZM5G831687	0.0	0.07655259649065752	0.25709210704705937
GRMZM5G831712	0.9471022454933598	0.7228500362661587	0.9025992228436343
GRMZM5G831780	3.976693566374101	3.67336137562192	4.015354834293464
GRMZM5G831795	3.783307348128156	3.9817864521566557	3.67743635941975
GRMZM5G831843	0.12486077497170608	0.0	0.13537594785413484
GRMZM5G831887	5.457029500025213	5.5089918972339715	6.965700605923009
GRMZM5G831951	0.0	0.0	0.0432790536174932
GRMZM5G831993	5.007401842281548	5.021298712905637	4.6637445218155635
GRMZM5G832108	6.039589165677815	5.585294582919449	5.887062169297736
GRMZM5G832114	0.0	0.7318255758515899	0.0
GRMZM5G832125	0.0	0.0	0.0
GRMZM5G832135	0.6376758533943739	1.0438414175822381	0.9810150992339262
GRMZM5G832138	2.280231815917228	2.2355999377955578	2.7808134844818513
GRMZM5G832149	0.7991244093917602	0.5937361599889062	0.7130554328293262
GRMZM5G832154	0.0	0.0	0.0
GRMZM5G832166	2.9646181158733866	3.007072579985772	3.0292094712033406
GRMZM5G832175	0.08449435517150941	0.14215853404745488	0.09186512959571691
GRMZM5G832229	6.529398537283892	7.045740006746825	7.7782627947400975
GRMZM5G832248	3.365932546529394	3.6268394728275446	3.5438101241061046
GRMZM5G832281	1.0704501259013148	0.4414834795826449	0.6450481712334601
GRMZM5G832300	0.056846969558067444	0.04978147618234165	0.13109884508626457
GRMZM5G832362	0.0	0.0	0.1147068345699227
GRMZM5G832378	1.8198796679053526	1.399160153910736	1.754174527801389
GRMZM5G832380	4.183047763649735	4.189441106778053	4.278139047924807
GRMZM5G832381	0.23239917553614678	1.7636839070035168e-05	0.5909437612801911
GRMZM5G832409	0.0	0.0	0.0
GRMZM5G832423	1.875491362494089e-05	3.7653849186489044e-05	0.0714382323417117
GRMZM5G832452	7.499600767517861	7.630245279636784	7.5843123900939
GRMZM5G832473	0.8541768207373961	1.555531513676459	0.5625313617588543
GRMZM5G832490	0.0	0.0	0.0
GRMZM5G832491	0.06514095505100215	0.0	1.0531669954492957e-06
GRMZM5G832565	0.0	0.0	0.0
GRMZM5G832582	0.18584590352692662	0.23646050370879057	0.13245899773656716
GRMZM5G832651	2.475494799198082	2.5682863178396267	2.519266372327219
GRMZM5G832672	3.8018829265780334	3.368356640434235	4.148115545472583
GRMZM5G832740	2.5348173746353617	2.456753591076735	3.112829802689924
GRMZM5G832772	1.6057491416431429	1.4572055286380887	1.9280850723529948
GRMZM5G832780	0.0	0.0	0.0
GRMZM5G832805	0.2658173236970433	0.37491911599285027	0.29685440591304085
GRMZM5G832821	0.0	0.0	0.0
GRMZM5G832908	2.206765110313215	2.4693832891715504	1.4754909081356864
GRMZM5G832939	2.49889419159419	1.1418957393490479	2.2956282619266637
GRMZM5G832989	0.9661976902827027	0.823585519534528	1.494716407196266
GRMZM5G832994	2.7867782554507396	3.260120150897854	2.3003558552980636
GRMZM5G833032	2.69260629631196	2.7141355938563327	2.852347979014596
GRMZM5G833054	2.163425468565107	2.518246193371797	1.6757765330936887
