Gene_ID	Pericarp_14 DAPollination_Prr	Pericarp_14 DAPollination_Pww	Pericarp_25 DAPollination_Prr	Pericarp_25 DAPollination_Pww
AC147602.5_FG004	0.0	0.0	0.0	0.0
AC148152.3_FG001	0.0	0.0	0.0	0.0
AC148152.3_FG005	0.0	3.8581103344023226	4.33124659930012	6.997416616796724
AC148152.3_FG006	0.10442268213578965	0.0	0.0	0.0
AC148152.3_FG008	0.0	0.0	0.0	0.0
AC148167.6_FG001	6.695840741279656	5.444514680093107	5.939499290909234	5.063088712019284
AC149475.2_FG002	6.172099426994985	5.577175012236773	5.791139440499245	3.8938378527855027
AC149475.2_FG003	4.67464707801851	5.691193550419799	5.944052559899509	4.008684082534805
AC149475.2_FG005	0.19567390029695939	3.1856699448997157	2.380036744288536	2.0838703045400746
AC149475.2_FG007	5.623539152173479	2.5444433461726055	3.6148747141274886	4.630620974267411
AC149810.2_FG003	3.243740665621314	3.750381401124529	4.05544730551347	4.749480634886457
AC149810.2_FG004	3.5874610073779385	0.8596237368933372	2.1475932553390455	0.0
AC149810.2_FG008	0.0	1.0663785617538837	2.5973309349946754	1.9134466715591958
AC149818.2_FG001	0.0	0.0	0.0	0.0
AC149818.2_FG004	5.820980520662705	2.6063142987615713	7.586021591054657	6.512007178055577
AC149818.2_FG005	0.0	0.0	0.0	0.0
AC149818.2_FG006	6.462320671771074	4.891671927988424	6.688530077406879	5.660851625759929
AC149818.2_FG007	0.0	1.8764167525196371	1.266984382448813	0.0
AC149818.2_FG008	0.0	3.169386294728869	4.266336799420134	2.0096338193972687
AC149818.2_FG009	0.0	0.0	0.0	0.0
AC149828.2_FG002	5.158579395087182	6.9479583126952065	6.51384758529698	7.0854034099982
AC149828.2_FG004	0.0	0.0	0.0	0.0
AC149828.2_FG005	0.0	0.0	0.0	0.0
AC149829.2_FG002	9.184310052673545	7.749969960133785	8.237554158442908	8.059971700739942
AC149829.2_FG003	2.9581002617232475	4.668884984266247	3.7756721680043364	4.392083824670831
AC149829.2_FG004	0.0	0.0	0.0	0.0
AC149829.2_FG006	6.4778505312268475	8.026943879134501	7.368942914404951	7.917425787909857
AC150739.3_FG001	0.19096751100785514	2.6791219851908825	3.816528030763773	0.0
AC152495.1_FG002	0.0	1.963389039450727	2.8969964055092294	1.7770219660875335
AC152495.1_FG003	3.387476970250785	2.840656587367853	3.639961431448018	3.4933527195032448
AC152495.1_FG010	0.0	1.7644693046433977	2.6710532808025396	1.785462669161634
AC152495.1_FG011	0.0	0.0	1.276121426803982	0.0
AC152495.1_FG012	0.0	1.79567137438076	0.0	3.0427003633124983
AC152495.1_FG013	0.0	0.0	0.0	0.0
AC152495.1_FG015	0.0	1.06477940415905	0.0	0.9910158333894897
AC152495.1_FG017	0.0	0.592156088100819	0.0	0.0
AC155352.2_FG001	0.0	2.311796623480916	0.0	0.8579491559891331
AC155352.2_FG010	10.432186924511068	9.703649263056926	9.442149380492834	9.225831626064517
AC155376.2_FG002	0.0	0.0	0.0	0.0
AC155376.2_FG004	2.982666906994476	4.731101761765281	4.414805296860161	4.815206510806607
AC155376.2_FG005	0.0	3.729792021559965	2.878931285963403	3.568749624521147
AC155377.1_FG001	3.764898122814709	4.858761829029254	4.812025806557011	4.705231487054737
AC155377.1_FG002	3.729346112564233	3.651878312372344	0.0	3.842606799736746
